date,tsa,tot_confirmed_covid_patients_in_hosp,tot_suspected_covid_patients_in_hosp,tot_confirmed_covid_admits_last_24hrs,tot_suspected_covid_admits_last_24hrs,adult_suspected_covid_admits_in_the_last_24hr,pediatric_suspected_covid_admits_in_the_last_24hr,tot_lab_conf_covid_icu,tot_susp_covid_icu,hosp_onset_covid,ed_overflow,prev_day_covid_fatalities,Reporting Rate,Reported Date,Reported Time,Time Zone,Notes
2020-07-24,A,75,7,NA,8,NA,NA,NA,NA,1,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,B,190,5,NA,26,NA,NA,NA,NA,0,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,C,44,13,NA,5,NA,NA,NA,NA,1,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,D,61,29,NA,17,NA,NA,NA,NA,0,1,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,E,1716,49,NA,343,NA,NA,NA,NA,8,43,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,F,132,83,NA,19,NA,NA,NA,NA,16,1,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,G,234,0,NA,49,NA,NA,NA,NA,0,2,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,H,108,4,NA,17,NA,NA,NA,NA,1,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,I,322,0,NA,43,NA,NA,NA,NA,1,3,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,J,125,0,NA,5,NA,NA,NA,NA,3,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,K,41,0,NA,0,NA,NA,NA,NA,4,1,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,L,70,0,NA,20,NA,NA,NA,NA,0,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,M,78,0,NA,3,NA,NA,NA,NA,0,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,N,60,0,NA,7,NA,NA,NA,NA,0,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,O,429,0,NA,25,NA,NA,NA,NA,2,15,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,P,934,0,NA,37,NA,NA,NA,NA,17,24,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,Q,2471,67,NA,347,NA,NA,NA,NA,4,3,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,R,418,0,NA,33,NA,NA,NA,NA,0,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,S,179,0,NA,8,NA,NA,NA,NA,6,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,T,164,0,NA,1,NA,NA,NA,NA,92,1,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,U,445,0,NA,44,NA,NA,NA,NA,4,26,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,V,1531,0,NA,108,NA,NA,NA,NA,92,183,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,Total,9827,257,NA,1165,NA,NA,NA,NA,252,303,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-25,A,44,NA,4,0,NA,NA,NA,NA,1,0,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,B,198,NA,19,18,NA,NA,NA,NA,0,0,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,C,51,NA,3,13,NA,NA,NA,NA,1,2,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,D,57,NA,5,22,NA,NA,NA,NA,0,1,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,E,1701,NA,311,319,NA,NA,NA,NA,9,33,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,F,191,NA,16,2,NA,NA,NA,NA,19,0,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,G,247,NA,35,21,NA,NA,NA,NA,0,7,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,H,67,NA,0,10,NA,NA,NA,NA,0,3,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,I,195,NA,9,81,NA,NA,NA,NA,1,2,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,J,123,NA,11,3,NA,NA,NA,NA,3,0,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,K,48,NA,6,1,NA,NA,NA,NA,4,1,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,L,68,NA,8,5,NA,NA,NA,NA,0,0,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,M,78,NA,10,4,NA,NA,NA,NA,0,1,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,N,67,NA,12,6,NA,NA,NA,NA,0,0,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,O,515,NA,51,17,NA,NA,NA,NA,2,15,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,P,1066,NA,127,35,NA,NA,NA,NA,14,28,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,Q,2855,NA,4,565,NA,NA,NA,NA,0,73,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,R,407,NA,0,42,NA,NA,NA,NA,0,9,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,S,174,NA,21,6,NA,NA,NA,NA,7,0,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,T,224,NA,10,0,NA,NA,NA,NA,0,0,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,U,437,NA,31,16,NA,NA,NA,NA,2,25,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,V,1262,NA,0,0,NA,NA,NA,NA,107,141,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-25,Total,10075,NA,693,1186,NA,NA,NA,NA,170,341,NA,0.85,2020-07-26,6:16:00 AM,PDT,NA
2020-07-26,A,77,NA,6,1,NA,NA,NA,NA,1,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,B,185,NA,12,13,NA,NA,NA,NA,0,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,C,39,NA,3,8,NA,NA,NA,NA,1,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,D,58,NA,3,10,NA,NA,NA,NA,0,1,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,E,1634,NA,292,257,NA,NA,NA,NA,9,43,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,F,125,NA,12,12,NA,NA,NA,NA,18,2,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,G,255,NA,33,21,NA,NA,NA,NA,0,9,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,H,224,NA,0,25,NA,NA,NA,NA,0,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,I,288,NA,25,26,NA,NA,NA,NA,0,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,J,117,NA,11,1,NA,NA,NA,NA,3,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,K,81,NA,8,1,NA,NA,NA,NA,4,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,L,66,NA,12,7,NA,NA,NA,NA,0,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,M,83,NA,10,19,NA,NA,NA,NA,0,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,N,59,NA,12,7,NA,NA,NA,NA,0,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,O,536,NA,53,8,NA,NA,NA,NA,2,15,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,P,1041,NA,173,94,NA,NA,NA,NA,18,41,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,Q,1986,NA,43,173,NA,NA,NA,NA,4,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,R,583,NA,0,106,NA,NA,NA,NA,0,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,S,179,NA,23,5,NA,NA,NA,NA,9,1,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,T,170,NA,15,0,NA,NA,NA,NA,0,0,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,U,448,NA,33,19,NA,NA,NA,NA,2,15,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
