date,sheet,tsa,location,pedi_vent_avail,pedi_vents_in_use,adult_vents_avail,adult_vents_in_use,total_vents_avail,total_vents_in_use,pedi_bi_pap_avail,pedi_bi_pap_in_use,adult_bi_pap_avail,adult_bi_pap_in_use,total_bi_pap_avail,total_bi_pap_in_use,total_anesthesia_vents_in_use,total_covid_on_vents,anesthsia_vents_avail
2020-05-19,Vent Availability,Total,Texas,1293,349,5071,1980,6364,2329,285,62,3065,1200,3350,1262,400,400,1438
2020-05-21,Vent Availability,TSA-A,Amarillo,28,4,92,23,120,27,0,0,49,19,49,19,0,0,25
2020-05-21,Vent Availability,TSA-B,Lubbock,7,1,155,39,162,40,1,0,69,16,70,16,0,5,26
2020-05-21,Vent Availability,TSA-C,Witchita Falls,2,0,49,8,51,8,0,0,10,4,10,4,0,0,25
2020-05-21,Vent Availability,TSA-D,Abilene,9,0,53,8,62,8,0,0,21,1,21,1,0,0,29
2020-05-21,Vent Availability,TSA-E,Dallas/Ft. Worth,285,116,1039,593,1324,709,63,26,725,334,788,360,165,126,369
2020-05-21,Vent Availability,TSA-F,Paris,12,0,77,24,89,24,11,0,56,18,67,18,0,4,38
2020-05-21,Vent Availability,TSA-G,Longview/Tyler,65,4,157,74,222,78,25,0,137,60,162,60,0,11,23
2020-05-21,Vent Availability,TSA-H,Lufkin,27,0,63,18,90,18,0,0,45,13,45,13,0,1,20
2020-05-21,Vent Availability,TSA-I,El Paso,70,8,200,69,270,77,5,0,102,33,107,33,1,19,40
2020-05-21,Vent Availability,TSA-J,Midland/Odessa,38,2,177,13,215,15,17,0,55,10,72,10,0,0,33
2020-05-21,Vent Availability,TSA-K,San Angelo,4,0,41,0,45,0,0,0,0,0,0,0,0,0,9
2020-05-21,Vent Availability,TSA-L,Belton/Killeen,35,1,126,42,161,43,5,0,107,10,112,10,0,6,46
2020-05-21,Vent Availability,TSA-M,Waco,0,0,60,16,60,16,0,0,59,4,59,4,0,0,10
2020-05-21,Vent Availability,TSA-N,Bryan/College Station,7,0,46,13,53,13,2,0,26,4,28,4,0,2,28
2020-05-21,Vent Availability,TSA-O,Austin,86,27,294,113,380,140,10,0,171,45,181,45,30,17,106
2020-05-21,Vent Availability,TSA-P,San Antonio,73,44,815,190,888,234,14,9,314,253,328,262,34,14,183
