country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Texas,NA,US-TX,NA,2020-03-26,-38,-14,-2,-39,-45,20
US,United States,Texas,NA,US-TX,NA,2020-03-27,-41,-15,-19,-42,-45,21
US,United States,Texas,NA,US-TX,NA,2020-03-28,-47,-19,-35,-43,-32,15
US,United States,Texas,NA,US-TX,NA,2020-03-29,-45,-23,-27,-47,-36,13
US,United States,Texas,NA,US-TX,NA,2020-03-30,-41,-21,-39,-45,-46,20
US,United States,Texas,NA,US-TX,NA,2020-03-31,-35,-13,-13,-39,-47,20
US,United States,Texas,NA,US-TX,NA,2020-04-01,-33,-8,-6,-38,-47,20
US,United States,Texas,NA,US-TX,NA,2020-04-02,-39,-14,-22,-43,-48,21
US,United States,Texas,NA,US-TX,NA,2020-04-03,-41,-13,-44,-47,-48,23
US,United States,Texas,NA,US-TX,NA,2020-04-04,-52,-23,-69,-52,-37,18
US,United States,Texas,NA,US-TX,NA,2020-04-05,-48,-23,-47,-53,-39,14
US,United States,Texas,NA,US-TX,NA,2020-04-06,-41,-19,-33,-46,-47,20
US,United States,Texas,NA,US-TX,NA,2020-04-07,-38,-16,-17,-42,-49,21
US,United States,Texas,NA,US-TX,NA,2020-04-08,-38,-15,-14,-42,-48,21
US,United States,Texas,NA,US-TX,NA,2020-04-09,-39,-15,-21,-44,-50,21
US,United States,Texas,NA,US-TX,NA,2020-04-10,-39,-13,-29,-48,-56,24
US,United States,Texas,NA,US-TX,NA,2020-04-11,-45,-14,-54,-49,-38,16
US,United States,Texas,NA,US-TX,NA,2020-04-12,-57,-38,-53,-53,-43,13
US,United States,Texas,NA,US-TX,NA,2020-04-13,-38,-18,-29,-45,-47,20
US,United States,Texas,NA,US-TX,NA,2020-04-14,-36,-17,-26,-42,-47,21
US,United States,Texas,NA,US-TX,NA,2020-04-15,-29,-9,-13,-39,-46,20
US,United States,Texas,NA,US-TX,NA,2020-04-16,-32,-12,-4,-41,-47,20
US,United States,Texas,NA,US-TX,NA,2020-04-17,-37,-16,-33,-43,-46,22
US,United States,Texas,NA,US-TX,NA,2020-04-18,-41,-17,-43,-42,-31,14
US,United States,Texas,NA,US-TX,NA,2020-04-19,-42,-22,-44,-49,-36,13
US,United States,Texas,NA,US-TX,NA,2020-04-20,-33,-16,-15,-42,-45,18
US,United States,Texas,NA,US-TX,NA,2020-04-21,-32,-14,-9,-40,-47,19
US,United States,Texas,NA,US-TX,NA,2020-04-22,-34,-13,-20,-41,-46,20
US,United States,Texas,NA,US-TX,NA,2020-04-23,-31,-11,6,-39,-46,19
US,United States,Texas,NA,US-TX,NA,2020-04-24,-33,-11,-10,-40,-45,20
US,United States,Texas,NA,US-TX,NA,2020-04-25,-37,-11,-14,-37,-30,12
US,United States,Texas,NA,US-TX,NA,2020-04-26,-35,-15,-15,-43,-34,10
US,United States,Texas,NA,US-TX,NA,2020-04-27,-29,-13,-11,-40,-44,18
US,United States,Texas,NA,US-TX,NA,2020-04-28,-30,-12,-14,-38,-46,13
US,United States,Texas,NA,US-TX,NA,2020-04-29,-27,-7,-3,-37,-45,19
US,United States,Texas,NA,US-TX,NA,2020-04-30,-25,-6,13,-35,-45,18
US,United States,Texas,NA,US-TX,NA,2020-05-01,-26,-4,-1,-35,-43,17
US,United States,Texas,NA,US-TX,NA,2020-05-02,-30,-5,-3,-32,-26,10
US,United States,Texas,NA,US-TX,NA,2020-05-03,-28,-10,-9,-38,-28,9
US,United States,Texas,NA,US-TX,NA,2020-05-04,-23,-8,-5,-36,-41,16
US,United States,Texas,NA,US-TX,NA,2020-05-05,-21,-4,-2,-34,-42,17
US,United States,Texas,NA,US-TX,NA,2020-05-06,-20,-2,15,-33,-41,16
US,United States,Texas,NA,US-TX,NA,2020-05-07,-22,-3,16,-34,-42,16
US,United States,Texas,NA,US-TX,NA,2020-05-08,-23,-2,-6,-33,-40,17
US,United States,Texas,NA,US-TX,NA,2020-05-09,-23,7,-1,-28,-22,8
US,United States,Texas,NA,US-TX,NA,2020-05-10,-22,4,-3,-32,-22,5
US,United States,Texas,NA,US-TX,NA,2020-05-11,-21,-9,2,-34,-40,15
US,United States,Texas,NA,US-TX,NA,2020-05-12,-22,-7,-11,-34,-41,17
US,United States,Texas,NA,US-TX,NA,2020-05-13,-18,-2,10,-32,-39,16
US,United States,Texas,NA,US-TX,NA,2020-05-14,-20,-4,15,-34,-40,16
US,United States,Texas,NA,US-TX,NA,2020-05-15,-24,-6,-10,-35,-39,16
US,United States,Texas,NA,US-TX,NA,2020-05-16,-29,-8,-30,-35,-24,11
US,United States,Texas,NA,US-TX,NA,2020-05-17,-22,-6,-1,-34,-21,7
US,United States,Texas,NA,US-TX,NA,2020-05-18,-17,-6,3,-34,-37,14
US,United States,Texas,NA,US-TX,NA,2020-05-19,-15,-4,7,-32,-38,14
US,United States,Texas,NA,US-TX,NA,2020-05-20,-14,-1,15,-30,-38,14
US,United States,Texas,NA,US-TX,NA,2020-05-21,-14,-1,20,-29,-39,14
US,United States,Texas,NA,US-TX,NA,2020-05-22,-17,0,10,-28,-38,13
US,United States,Texas,NA,US-TX,NA,2020-05-23,-22,-1,10,-25,-18,6
US,United States,Texas,NA,US-TX,NA,2020-05-24,-22,-8,-6,-35,-21,6
