county,cases,fatalities
Anderson,1917,3
Andrews,170,2
Angelina,834,12
Aransas,57,0
Archer,12,0
Armstrong,3,0
Atascosa,275,2
Austin,140,0
Bailey,112,1
Bandera,44,0
Bastrop,800,11
Baylor,1,0
Bee,152,0
Bell,2243,14
Bexar,20213,195
Blanco,49,1
Borden,0,0
Bosque,41,0
Bowie,533,16
Brazoria,3834,28
Brazos,3066,35
Brewster,153,1
Briscoe,9,1
Brooks,41,0
Brown,237,13
Burleson,154,0
Burnet,256,3
Caldwell,710,5
Calhoun,164,3
Callahan,28,2
Cameron,4175,79
Camp,144,2
Carson,10,0
Cass,70,3
Castro,121,1
Chambers,590,2
Cherokee,364,2
Childress,7,0
Clay,19,0
Cochran,6,0
Coke,5,1
Coleman,5,0
Collin,4685,58
Collingsworth,6,0
Colorado,179,0
Comal,1017,29
Comanche,32,1
Concho,15,0
Cooke,98,0
Coryell,416,3
Cottle,4,1
Crane,64,9
Crockett,41,1
Crosby,35,2
Culberson,7,1
Dallam,126,1
Dallas,34914,457
Dawson,92,1
DeWitt,188,3
Deaf Smith,410,17
Delta,9,0
Denton,4162,40
Dickens,2,0
Dimmit,38,0
Donley,33,0
Duval,89,0
Eastland,20,0
Ector,1370,19
Edwards,10,0
El Paso,9953,152
Ellis,1729,21
Erath,236,1
Falls,57,0
Fannin,145,8
Fayette,174,4
Fisher,14,1
Floyd,53,2
Foard,1,0
Fort Bend,5015,63
Franklin,61,1
Freestone,77,0
Frio,336,0
Gaines,45,0
Galveston,6201,54
Garza,22,1
Gillespie,65,0
Glasscock,6,0
Goliad,33,0
Gonzales,348,4
Gray,133,4
Grayson,754,7
Gregg,837,15
Grimes,658,2
Guadalupe,1044,3
Hale,776,11
Hall,2,1
Hamilton,34,1
Hansford,38,2
Hardeman,6,0
Hardin,404,5
Harris,47369,466
Harrison,451,31
Hartley,59,2
Haskell,8,0
Hays,3643,11
Hemphill,22,0
Henderson,319,5
Hidalgo,8040,150
Hill,154,2
Hockley,109,1
Hood,216,5
Hopkins,88,0
Houston,188,0
Howard,71,1
Hudspeth,18,0
Hunt,720,8
Hutchinson,81,0
Irion,3,0
Jack,13,0
Jackson,90,1
Jasper,80,1
Jeff Davis,5,0
Jefferson,3665,42
Jim Hogg,34,0
Jim Wells,318,0
Johnson,885,4
Jones,607,0
Karnes,86,0
Kaufman,1061,5
Kendall,106,0
Kenedy,3,0
Kent,1,0
Kerr,190,1
Kimble,9,0
King,0,0
Kinney,3,0
Kleberg,186,1
Knox,10,0
La Salle,87,0
Lamar,418,14
Lamb,89,0
Lampasas,40,0
Lavaca,340,1
Lee,98,3
Leon,98,0
Liberty,550,3
Limestone,107,1
Lipscomb,12,0
Live Oak,69,0
Llano,48,0
Loving,0,0
Lubbock,3823,63
Lynn,53,2
Madison,137,0
Marion,64,2
Martin,26,1
Mason,36,0
Matagorda,382,5
Maverick,776,7
McCulloch,25,0
McLennan,2744,19
McMullen,1,0
Medina,360,3
Menard,14,0
Midland,1194,21
Milam,149,1
Mills,7,0
Mitchell,26,0
Montague,27,1
Montgomery,3112,42
Moore,921,15
Morris,54,0
Motley,2,0
Nacogdoches,611,33
Navarro,470,7
Newton,21,0
Nolan,70,0
Nueces,6427,58
Ochiltree,62,2
Oldham,4,1
Orange,498,5
Palo Pinto,76,2
Panola,234,24
Parker,615,1
Parmer,236,8
Pecos,148,1
Polk,380,0
Potter,3056,39
Presidio,27,0
Rains,19,0
Randall,1105,7
Reagan,39,0
Real,6,0
Red River,123,12
Reeves,83,1
Refugio,51,0
Roberts,6,0
Robertson,115,0
Rockwall,491,16
Runnels,25,0
Rusk,264,3
Sabine,34,1
San Augustine,130,12
San Jacinto,104,2
San Patricio,339,0
San Saba,10,0
Schleicher,25,1
Scurry,350,1
Shackelford,9,0
Shelby,303,14
Sherman,33,0
Smith,1441,7
Somervell,30,0
Starr,1017,8
Stephens,16,0
Sterling,0,0
Stonewall,0,0
Sutton,25,0
Swisher,58,1
Tarrant,18483,272
Taylor,766,7
Terrell,2,0
Terry,56,0
Throckmorton,2,0
Titus,916,6
Tom Green,1065,7
Travis,15445,172
Trinity,83,0
Tyler,45,0
Upshur,107,0
Upton,10,0
Uvalde,259,2
Val Verde,503,3
Van Zandt,209,3
Victoria,1599,10
Walker,2490,28
Waller,257,0
Ward,53,0
Washington,357,33
Webb,3001,46
Wharton,359,1
Wheeler,23,0
Wichita,636,5
Wilbarger,19,0
Willacy,356,3
Williamson,4042,56
Wilson,203,5
Winkler,45,0
Wise,202,5
Wood,144,5
Yoakum,44,0
Young,62,1
Zapata,86,0
Zavala,60,0
Total,275058,3322
Probable cases are not included in the total case numbers,NA,NA
