state,fips,report_type,demographic_type,group,count,pct
Texas,48,cases,ages,<1 year,117,0.0043429844099999995
Texas,48,cases,ages,1-9 years,513,0.019042316258
Texas,48,cases,ages,10-19 years,1343,0.049851521901
Texas,48,cases,ages,20-29 years,5075,0.18838158872000002
Texas,48,cases,ages,30-39 years,5011,0.18600593912000002
Texas,48,cases,ages,40-49 years,4796,0.17802524128000002
Texas,48,cases,ages,50-59 years,4428,0.16436525612
Texas,48,cases,ages,60-64 years,1769,0.065664439495
Texas,48,cases,ages,65-69 years,1289,0.047847067558
Texas,48,cases,ages,70-74 years,820,0.030438010393
Texas,48,cases,ages,75-79 years,622,0.023088344469000002
Texas,48,cases,ages,80+ years,1138,0.04224201930199999
Texas,48,cases,ages,Unknown,19,7.052709729999999e-4
Texas,48,cases,gender,Female,12852,0.47706013363
Texas,48,cases,gender,Male,13723,0.50939123979
Texas,48,cases,gender,Unknown,365,0.013548626578
Texas,48,cases,race,Asian,654,0.024276169264999998
Texas,48,cases,race,Black,3061,0.11362286563
Texas,48,cases,race,Hispanic,10891,0.40426874536
Texas,48,cases,race,Other,137,0.0050853749069999996
Texas,48,cases,race,White,6641,0.24651076466
Texas,48,cases,race,Unknown,5556,0.20623608017999998
Texas,48,fatalities,ages,<1 year,0,0
Texas,48,fatalities,ages,1-9 years,0,0
Texas,48,fatalities,ages,10-19 years,0,0
Texas,48,fatalities,ages,20-29 years,4,0.0054421768709999995
Texas,48,fatalities,ages,30-39 years,12,0.016326530612
Texas,48,fatalities,ages,40-49 years,28,0.038095238095
Texas,48,fatalities,ages,50-59 years,77,0.10476190476
Texas,48,fatalities,ages,60-64 years,76,0.10340136054
Texas,48,fatalities,ages,65-69 years,84,0.11428571428999999
Texas,48,fatalities,ages,70-74 years,79,0.10748299319999999
Texas,48,fatalities,ages,75-79 years,87,0.11836734694
Texas,48,fatalities,ages,80+ years,288,0.39183673468999997
Texas,48,fatalities,ages,Unknown,0,0
Texas,48,fatalities,gender,Female,303,0.41224489796
Texas,48,fatalities,gender,Male,431,0.5863945578199999
Texas,48,fatalities,gender,Unknown,1,0.001360544218
Texas,48,fatalities,race,Asian,15,0.020408163264999998
Texas,48,fatalities,race,Black,95,0.12925170068
Texas,48,fatalities,race,Hispanic,214,0.29115646259
Texas,48,fatalities,race,Other,1,0.001360544218
Texas,48,fatalities,race,White,317,0.43129251701
Texas,48,fatalities,race,Unknown,93,0.12653061224
