no,county,positive,fatalities
1,Anderson,10,0
2,Andrews,19,0
3,Angelina,27,0
4,Aransas,2,0
5,Armstrong,1,0
6,Atascosa,14,1
7,Austin,12,0
8,Bandera,4,0
9,Bastrop,49,1
10,Bee,5,0
11,Bell,135,3
12,Bexar,1029,39
13,Blanco,4,0
14,Bosque,3,0
15,Bowie,64,1
16,Brazoria,333,3
17,Brazos,170,16
18,Brown,13,1
19,Burleson,9,0
20,Burnet,13,0
21,Caldwell,9,0
22,Calhoun,21,1
23,Callahan,1,0
24,Cameron,310,7
25,Camp,6,0
26,Carson,1,0
27,Cass,10,0
28,Castro,11,1
29,Chambers,35,0
30,Cherokee,8,1
31,Childress,1,0
32,Clay,3,0
33,Collin,544,13
34,Colorado,9,0
35,Comal,43,6
36,Comanche,3,0
37,Concho,1,0
38,Cooke,4,0
39,Coryell,84,1
40,Crane,2,0
41,Crosby,1,1
42,Dallam,2,0
43,Dallas,2512,60
44,Dawson,14,1
45,Deaf Smith,14,0
46,Delta,1,0
47,Denton,598,17
48,DeWitt,14,1
49,Dickens,1,0
50,Dimmit,1,0
51,Donley,24,0
52,Duval,1,0
53,Eastland,3,0
54,Ector,60,4
55,El Paso,540,9
56,Ellis,100,4
57,Erath,12,1
58,Falls,1,0
59,Fannin,9,0
60,Fayette,14,0
61,Floyd,2,0
62,Fort Bend,799,18
63,Franklin,1,0
64,Freestone,3,0
65,Frio,1,0
66,Gaines,2,0
67,Galveston,468,19
68,Gillespie,1,0
69,Goliad,6,0
70,Gonzales,2,0
71,Gray,20,0
72,Grayson,19,0
73,Gregg,52,0
74,Grimes,10,1
75,Guadalupe,60,0
76,Hale,15,2
77,Hamilton,5,0
78,Hansford,1,0
79,Hardin,85,2
80,Harris,4977,78
81,Harrison,58,1
82,Hartley,1,0
83,Hays,109,1
84,Hemphill,1,0
85,Henderson,15,0
86,Hidalgo,268,3
87,Hill,11,1
88,Hockley,16,1
89,Hood,15,2
90,Hopkins,4,0
91,Houston,1,0
92,Howard,1,1
93,Hunt,35,2
94,Hutchinson,8,0
95,Jack,4,0
96,Jackson,6,0
97,Jasper,10,0
98,Jefferson,196,10
99,Jim Wells,2,0
100,Johnson,44,1
101,Jones,3,0
102,Karnes,3,0
103,Kaufman,48,0
104,Kendall,14,0
105,Kerr,4,0
106,Kleberg,6,1
107,Knox,1,0
108,La Salle,1,0
109,Lamar,7,0
110,Lamb,2,0
111,Lampasas,2,0
112,Lavaca,4,0
113,Lee,2,0
114,Leon,5,0
115,Liberty,33,0
116,Limestone,11,1
117,Live Oak,3,0
118,Llano,3,0
119,Lubbock,445,36
120,Lynn,5,0
121,Madison,2,0
122,Marion,6,0
123,Martin,2,0
124,Mason,1,0
125,Matagorda,56,3
126,Maverick,15,0
127,McCulloch,3,0
128,McLennan,77,4
129,Medina,15,2
130,Midland,64,3
131,Milam,12,0
132,Mitchell,1,0
133,Montague,6,1
134,Montgomery,393,7
135,Moore,139,2
136,Morris,5,0
137,Motley,1,0
138,Nacogdoches,96,6
139,Navarro,23,2
140,Newton,2,0
141,Nueces,90,1
142,Oldham,3,1
143,Orange,58,0
144,Palo Pinto,7,1
145,Panola,42,1
146,Parker,21,0
147,Parmer,2,0
148,Pecos,5,0
149,Polk,15,0
150,Potter,160,4
151,Rains,2,0
152,Randall,115,3
153,Red River,1,0
154,Roberts,2,0
155,Robertson,2,0
156,Rockwall,40,0
157,Rusk,27,1
158,Sabine,1,0
159,San Augustine,14,1
160,San Jacinto,8,0
161,San Patricio,8,0
162,Scurry,2,0
163,Shelby,69,0
164,Sherman,7,0
165,Smith,123,1
166,Starr,7,0
167,Stephens,1,0
168,Swisher,5,0
169,Tarrant,1249,39
170,Taylor,144,3
171,Terry,10,0
172,Titus,11,0
173,Tom Green,41,1
174,Travis,1174,26
175,Trinity,7,0
176,Tyler,6,0
177,Upshur,9,0
178,Uvalde,6,0
179,Val Verde,12,0
180,Van Zandt,12,1
181,Victoria,95,1
182,Walker,95,0
183,Waller,24,0
184,Washington,67,6
185,Webb,281,11
186,Wharton,36,0
187,Wichita,60,2
188,Wilbarger,1,0
189,Willacy,9,1
190,Williamson,156,4
191,Wilson,22,1
192,Winkler,3,0
193,Wise,12,2
194,Wood,6,0
195,Yoakum,1,0
196,Young,4,1
197,Zapata,6,0
198,Zavala,1,0
