county,cases,fatalities
Anderson,2423,17
Andrews,346,7
Angelina,1930,54
Aransas,190,16
Archer,33,0
Armstrong,8,0
Atascosa,523,20
Austin,344,4
Bailey,195,4
Bandera,102,3
Bastrop,1477,24
Baylor,13,0
Bee,1429,17
Bell,4423,51
Bexar,36217,935
Blanco,128,5
Borden,0,0
Bosque,188,3
Bowie,812,39
Brazoria,8367,118
Brazos,4206,52
Brewster,187,2
Briscoe,12,1
Brooks,152,9
Brown,427,18
Burleson,265,6
Burnet,586,11
Caldwell,1195,30
Calhoun,562,7
Callahan,56,3
Cameron,18338,602
Camp,262,7
Carson,17,0
Cass,213,9
Castro,210,4
Chambers,1054,5
Cherokee,1284,12
Childress,53,0
Clay,50,1
Cochran,35,0
Coke,43,2
Coleman,37,1
Collin,10379,98
Collingsworth,15,0
Colorado,370,2
Comal,2200,88
Comanche,182,3
Concho,36,0
Cooke,282,3
Coryell,739,6
Cottle,18,2
Crane,70,2
Crockett,157,4
Crosby,72,1
Culberson,22,2
Dallam,199,6
Dallas,66065,841
Dawson,177,7
DeWitt,763,23
Deaf Smith,754,19
Delta,17,0
Denton,8584,107
Dickens,5,1
Dimmit,168,4
Donley,49,1
Duval,211,7
Eastland,98,1
Ector,2621,55
Edwards,30,0
El Paso,18914,369
Ellis,3427,53
Erath,602,7
Falls,149,3
Fannin,355,10
Fayette,332,15
Fisher,42,1
Floyd,96,7
Foard,3,0
Fort Bend,13034,198
Franklin,99,4
Freestone,191,0
Frio,604,7
Gaines,209,4
Galveston,10135,128
Garza,101,3
Gillespie,191,6
Glasscock,6,0
Goliad,121,6
Gonzales,750,11
Gray,232,2
Grayson,1322,17
Gregg,1719,34
Grimes,936,29
Guadalupe,1816,61
Hale,1520,33
Hall,15,1
Hamilton,97,3
Hansford,98,2
Hardeman,22,0
Hardin,1156,18
Harris,93872,1920
Harrison,753,24
Hartley,97,0
Haskell,53,0
Hays,5192,46
Hemphill,47,0
Henderson,726,13
Hidalgo,22826,873
Hill,343,7
Hockley,230,5
Hood,664,14
Hopkins,223,3
Houston,324,8
Howard,226,8
Hudspeth,36,2
Hunt,1301,23
Hutchinson,133,3
Irion,9,0
Jack,102,0
Jackson,443,12
Jasper,370,15
Jeff Davis,8,0
Jefferson,6360,96
Jim Hogg,68,2
Jim Wells,879,19
Johnson,2327,35
Jones,605,0
Karnes,693,10
Kaufman,2607,32
Kendall,186,4
Kenedy,7,1
Kent,4,0
Kerr,419,6
Kimble,16,1
King,0,0
Kinney,21,0
Kleberg,529,19
Knox,62,5
La Salle,367,2
Lamar,743,19
Lamb,255,18
Lampasas,132,5
Lavaca,657,27
Lee,186,12
Leon,159,3
Liberty,1183,39
Limestone,320,4
Lipscomb,22,0
Live Oak,240,5
Llano,95,1
Loving,0,0
Lubbock,6656,82
Lynn,75,4
Madison,685,3
Marion,136,10
Martin,68,5
Mason,63,0
Matagorda,845,37
Maverick,2596,57
McCulloch,69,1
McLennan,5435,67
McMullen,10,0
Medina,1056,33
Menard,19,0
Midland,2953,43
Milam,391,4
Mills,27,0
Mitchell,71,1
Montague,89,2
Montgomery,7327,109
Moore,1096,14
Morris,135,3
Motley,6,0
Nacogdoches,1226,44
Navarro,991,13
Newton,124,4
Nolan,142,4
Nueces,13960,213
Ochiltree,100,2
Oldham,15,1
Orange,1639,30
Palo Pinto,388,10
Panola,301,18
Parker,1502,20
Parmer,366,7
Pecos,267,2
Polk,772,14
Potter,3866,44
Presidio,50,4
Rains,55,1
Randall,1978,25
Reagan,68,5
Real,91,4
Red River,140,13
Reeves,157,5
Refugio,246,9
Roberts,6,0
Robertson,241,3
Rockwall,1243,17
Runnels,166,3
Rusk,420,3
Sabine,69,6
San Augustine,181,12
San Jacinto,191,8
San Patricio,1168,44
San Saba,29,0
Schleicher,36,1
Scurry,507,2
Shackelford,20,0
Shelby,416,18
Sherman,46,0
Smith,2897,39
Somervell,105,0
Starr,2469,98
Stephens,130,3
Sterling,1,0
Stonewall,7,0
Sutton,71,1
Swisher,85,3
Tarrant,36690,528
Taylor,1178,30
Terrell,3,0
Terry,182,2
Throckmorton,4,2
Titus,1276,18
Tom Green,1893,37
Travis,24759,318
Trinity,167,4
Tyler,157,3
Upshur,283,3
Upton,16,1
Uvalde,615,15
Val Verde,1775,51
Van Zandt,469,9
Victoria,3632,65
Walker,3202,44
Waller,550,5
Ward,100,1
Washington,548,41
Webb,9857,138
Wharton,1049,33
Wheeler,39,0
Wichita,1163,13
Wilbarger,88,2
Willacy,787,34
Williamson,7581,110
Wilson,507,21
Winkler,88,1
Wise,569,10
Wood,373,12
Yoakum,129,3
Young,203,6
Zapata,231,3
Zavala,248,7
Unknown,0,6
Total,557256,10559
Probable cases are not included in the total case numbers,NA,NA
