county,cases,fatalities
Anderson,2799,26
Andrews,406,8
Angelina,2072,77
Aransas,307,18
Archer,68,1
Armstrong,12,1
Atascosa,621,30
Austin,467,9
Bailey,205,4
Bandera,114,7
Bastrop,1704,28
Baylor,14,0
Bee,1798,29
Bell,5219,77
Bexar,40993,1228
Blanco,135,5
Borden,0,0
Bosque,273,6
Bowie,1213,46
Brazoria,10772,155
Brazos,5807,61
Brewster,213,2
Briscoe,12,1
Brooks,286,21
Brown,529,20
Burleson,321,6
Burnet,693,12
Caldwell,1441,35
Calhoun,617,7
Callahan,81,3
Cameron,22222,854
Camp,340,10
Carson,18,0
Cass,303,14
Castro,242,5
Chambers,1230,8
Cherokee,1502,24
Childress,65,0
Clay,73,1
Cochran,47,1
Coke,50,3
Coleman,62,3
Collin,12482,132
Collingsworth,18,0
Colorado,463,4
Comal,2559,102
Comanche,254,3
Concho,66,2
Cooke,387,5
Coryell,1777,11
Cottle,25,2
Crane,71,2
Crockett,164,6
Crosby,83,3
Culberson,47,2
Dallam,223,8
Dallas,75838,1056
Dawson,316,8
DeWitt,945,32
Deaf Smith,848,20
Delta,23,0
Denton,11225,147
Dickens,48,2
Dimmit,191,7
Donley,59,1
Duval,412,14
Eastland,156,3
Ector,2990,76
Edwards,34,1
El Paso,21826,488
Ellis,4136,63
Erath,787,12
Falls,201,4
Fannin,656,12
Fayette,438,18
Fisher,63,1
Floyd,101,9
Foard,8,0
Fort Bend,15499,273
Franklin,126,6
Freestone,397,1
Frio,670,8
Gaines,300,8
Galveston,11337,152
Garza,103,4
Gillespie,211,9
Glasscock,7,0
Goliad,152,6
Gonzales,822,14
Gray,272,5
Grayson,1744,35
Gregg,2085,59
Grimes,1061,31
Guadalupe,1948,76
Hale,1769,52
Hall,20,1
Hamilton,110,4
Hansford,108,4
Hardeman,24,0
Hardin,1299,27
Harris,120336,2458
Harrison,846,31
Hartley,112,0
Haskell,59,2
Hays,5665,60
Hemphill,72,0
Henderson,905,22
Hidalgo,29721,1369
Hill,570,13
Hockley,310,7
Hood,869,26
Hopkins,292,8
Houston,360,9
Howard,441,10
Hudspeth,45,3
Hunt,1531,34
Hutchinson,176,3
Irion,10,0
Jack,129,2
Jackson,523,15
Jasper,446,24
Jeff Davis,14,0
Jefferson,7028,125
Jim Hogg,101,3
Jim Wells,1398,32
Johnson,2711,48
Jones,571,0
Karnes,753,16
Kaufman,2981,45
Kendall,205,7
Kenedy,7,1
Kent,8,0
Kerr,442,10
Kimble,16,1
King,0,0
Kinney,24,1
Kleberg,965,39
Knox,68,8
La Salle,357,11
Lamar,1008,31
Lamb,314,21
Lampasas,217,8
Lavaca,705,33
Lee,211,14
Leon,225,5
Liberty,2201,47
Limestone,536,10
Lipscomb,32,0
Live Oak,368,8
Llano,115,2
Loving,0,0
Lubbock,9828,110
Lynn,90,5
Madison,717,6
Marion,147,13
Martin,76,6
Mason,76,2
Matagorda,1006,40
Maverick,3535,102
McCulloch,135,3
McLennan,7231,92
McMullen,21,0
Medina,1174,40
Menard,26,0
Midland,3495,57
Milam,471,5
Mills,46,0
Mitchell,82,1
Montague,161,3
Montgomery,10182,151
Moore,1140,19
Morris,174,3
Motley,7,0
Nacogdoches,1484,58
Navarro,1204,23
Newton,170,8
Nolan,192,4
Nueces,15506,341
Ochiltree,122,4
Oldham,15,1
Orange,1844,40
Palo Pinto,486,15
Panola,355,25
Parker,1792,30
Parmer,406,7
Pecos,352,5
Polk,811,21
Potter,4398,51
Presidio,94,5
Rains,63,3
Randall,2515,35
Reagan,86,6
Real,105,7
Red River,158,14
Reeves,186,6
Refugio,301,12
Roberts,9,0
Robertson,284,4
Rockwall,1498,25
Runnels,242,5
Rusk,846,6
Sabine,77,8
San Augustine,197,13
San Jacinto,221,9
San Patricio,1393,72
San Saba,43,0
Schleicher,51,2
Scurry,601,2
Shackelford,23,0
Shelby,458,22
Sherman,58,0
Smith,3538,89
Somervell,134,5
Starr,3278,153
Stephens,126,4
Sterling,4,0
Stonewall,10,1
Sutton,81,3
Swisher,100,3
Tarrant,42208,673
Taylor,1406,45
Terrell,3,0
Terry,223,4
Throckmorton,6,2
Titus,1421,28
Tom Green,2161,62
Travis,27961,396
Trinity,189,6
Tyler,207,4
Upshur,366,9
Upton,22,2
Uvalde,743,30
Val Verde,1957,96
Van Zandt,555,18
Victoria,3960,91
Walker,3686,53
Waller,801,11
Ward,119,1
Washington,616,48
Webb,12733,243
Wharton,1278,49
Wheeler,43,0
Wichita,1546,19
Wilbarger,131,2
Willacy,1194,46
Williamson,8252,137
Wilson,571,26
Winkler,109,1
Wise,705,13
Wood,472,20
Yoakum,199,4
Young,258,6
Zapata,321,6
Zavala,284,15
Unknown,0,8
Total,674772,14478
Probable cases are not included in the total case numbers,NA,NA
