county,cases,fatalities
Anderson,1040,2
Andrews,82,0
Angelina,507,9
Aransas,24,0
Archer,7,0
Armstrong,3,0
Atascosa,108,2
Austin,72,0
Bailey,100,1
Bandera,21,0
Bastrop,446,6
Baylor,1,0
Bee,47,0
Bell,1315,13
Bexar,12065,110
Blanco,27,1
Borden,0,0
Bosque,14,0
Bowie,438,11
Brazoria,2336,21
Brazos,2005,31
Brewster,136,1
Briscoe,3,0
Brooks,3,0
Brown,77,10
Burleson,83,0
Burnet,135,3
Caldwell,346,2
Calhoun,90,3
Callahan,17,2
Cameron,2399,55
Camp,118,1
Carson,6,0
Cass,41,2
Castro,87,1
Chambers,308,2
Cherokee,147,2
Childress,7,0
Clay,8,0
Cochran,1,0
Coke,5,1
Coleman,3,0
Collin,2997,42
Collingsworth,6,0
Colorado,93,0
Comal,525,7
Comanche,18,1
Concho,9,0
Cooke,43,0
Coryell,331,2
Cottle,4,1
Crane,57,9
Crockett,10,0
Crosby,25,1
Culberson,3,0
Dallam,85,1
Dallas,21338,373
Dawson,52,1
DeWitt,70,1
Deaf Smith,305,16
Delta,6,0
Denton,2845,37
Dickens,2,0
Dimmit,13,0
Donley,27,0
Duval,50,0
Eastland,10,0
Ector,558,7
Edwards,2,0
El Paso,6124,131
Ellis,862,19
Erath,92,1
Falls,31,0
Fannin,91,7
Fayette,90,2
Fisher,5,1
Floyd,31,0
Foard,0,0
Fort Bend,3782,54
Franklin,41,0
Freestone,29,0
Frio,218,0
Gaines,16,0
Galveston,3293,40
Garza,12,0
Gillespie,42,0
Glasscock,5,0
Goliad,14,0
Gonzales,261,4
Gray,117,4
Grayson,580,5
Gregg,375,13
Grimes,539,2
Guadalupe,705,2
Hale,300,7
Hall,2,1
Hamilton,20,1
Hansford,28,2
Hardeman,5,0
Hardin,254,5
Harris,31422,378
Harrison,314,30
Hartley,28,2
Haskell,5,0
Hays,2819,7
Hemphill,8,0
Henderson,137,4
Hidalgo,3982,46
Hill,70,1
Hockley,50,1
Hood,67,4
Hopkins,63,0
Houston,162,0
Howard,40,1
Hudspeth,15,0
Hunt,452,6
Hutchinson,65,0
Irion,2,0
Jack,11,0
Jackson,47,1
Jasper,52,1
Jeff Davis,4,0
Jefferson,1875,34
Jim Hogg,15,0
Jim Wells,147,0
Johnson,448,4
Jones,613,0
Karnes,48,0
Kaufman,627,4
Kendall,67,0
Kenedy,0,0
Kent,0,0
Kerr,90,1
Kimble,5,0
King,0,0
Kinney,2,0
Kleberg,71,1
Knox,3,0
La Salle,14,0
Lamar,296,13
Lamb,41,0
Lampasas,20,0
Lavaca,134,1
Lee,60,3
Leon,31,0
Liberty,331,3
Limestone,52,1
Lipscomb,11,0
Live Oak,31,0
Llano,11,0
Loving,0,0
Lubbock,2273,52
Lynn,33,1
Madison,33,0
Marion,28,1
Martin,17,1
Mason,34,0
Matagorda,213,5
Maverick,434,3
McCulloch,13,0
McLennan,957,9
McMullen,0,0
Medina,278,2
Menard,6,0
Midland,701,15
Milam,88,1
Mills,1,0
Mitchell,9,0
Montague,18,1
Montgomery,2133,36
Moore,893,15
Morris,39,0
Motley,1,0
Nacogdoches,407,26
Navarro,241,6
Newton,12,0
Nolan,36,0
Nueces,2394,8
Ochiltree,53,2
Oldham,4,1
Orange,272,3
Palo Pinto,21,2
Panola,209,24
Parker,291,1
Parmer,199,8
Pecos,127,0
Polk,121,0
Potter,2885,39
Presidio,19,0
Rains,12,0
Randall,863,7
Reagan,6,0
Real,1,0
Red River,112,10
Reeves,31,0
Refugio,13,0
Roberts,3,0
Robertson,52,0
Rockwall,340,16
Runnels,8,0
Rusk,277,3
Sabine,24,1
San Augustine,105,7
San Jacinto,35,0
San Patricio,161,0
San Saba,4,0
Schleicher,20,0
Scurry,36,0
Shackelford,1,0
Shelby,278,9
Sherman,30,0
Smith,618,4
Somervell,8,0
Starr,642,3
Stephens,8,0
Sterling,0,0
Stonewall,0,0
Sutton,5,0
Swisher,35,1
Tarrant,12344,228
Taylor,400,5
Terrell,3,0
Terry,17,0
Throckmorton,0,0
Titus,710,4
Tom Green,312,1
Travis,9527,124
Trinity,36,0
Tyler,25,0
Upshur,58,0
Upton,3,0
Uvalde,85,1
Val Verde,108,0
Van Zandt,91,3
Victoria,697,8
Walker,2028,28
Waller,156,0
Ward,20,0
Washington,275,31
Webb,1538,25
Wharton,203,1
Wheeler,16,0
Wichita,363,2
Wilbarger,10,0
Willacy,156,3
Williamson,2230,39
Wilson,101,5
Winkler,24,0
Wise,107,5
Wood,92,5
Yoakum,24,0
Young,25,1
Zapata,52,0
Zavala,21,0
Total,168062,2481
