county,cases,fatalities
Anderson,2353,10
Andrews,277,6
Angelina,1769,40
Aransas,165,13
Archer,21,0
Armstrong,7,0
Atascosa,425,16
Austin,223,3
Bailey,168,4
Bandera,89,3
Bastrop,1344,20
Baylor,8,0
Bee,704,9
Bell,3733,33
Bexar,34473,705
Blanco,98,5
Borden,0,0
Bosque,152,2
Bowie,707,32
Brazoria,6988,85
Brazos,3973,46
Brewster,186,2
Briscoe,11,1
Brooks,95,1
Brown,380,15
Burleson,236,6
Burnet,552,8
Caldwell,1118,26
Calhoun,526,4
Callahan,46,3
Cameron,15564,405
Camp,221,5
Carson,14,0
Cass,166,8
Castro,190,4
Chambers,929,2
Cherokee,953,5
Childress,37,0
Clay,38,1
Cochran,31,0
Coke,40,1
Coleman,18,0
Collin,6857,76
Collingsworth,8,0
Colorado,265,2
Comal,1763,67
Comanche,141,3
Concho,26,0
Cooke,212,3
Coryell,654,5
Cottle,14,2
Crane,71,2
Crockett,157,3
Crosby,59,1
Culberson,17,2
Dallam,187,5
Dallas,52639,697
Dawson,140,4
DeWitt,643,15
Deaf Smith,644,17
Delta,16,0
Denton,7257,82
Dickens,4,1
Dimmit,142,3
Donley,46,0
Duval,164,6
Eastland,65,1
Ector,2392,45
Edwards,25,0
El Paso,15596,266
Ellis,2739,38
Erath,507,5
Falls,123,3
Fannin,237,8
Fayette,303,14
Fisher,26,1
Floyd,88,5
Foard,2,0
Fort Bend,8559,153
Franklin,90,1
Freestone,150,0
Frio,497,5
Gaines,149,0
Galveston,9168,110
Garza,99,3
Gillespie,176,5
Glasscock,6,0
Goliad,77,4
Gonzales,670,9
Gray,211,2
Grayson,1092,13
Gregg,1358,23
Grimes,858,20
Guadalupe,1670,51
Hale,1257,24
Hall,10,1
Hamilton,57,3
Hansford,64,2
Hardeman,17,0
Hardin,925,13
Harris,80914,1459
Harrison,659,22
Hartley,84,0
Haskell,39,0
Hays,4969,37
Hemphill,42,0
Henderson,621,11
Hidalgo,18699,559
Hill,313,6
Hockley,194,4
Hood,505,9
Hopkins,194,1
Houston,308,6
Howard,164,4
Hudspeth,23,2
Hunt,1137,21
Hutchinson,121,2
Irion,9,0
Jack,51,0
Jackson,383,5
Jasper,304,5
Jeff Davis,8,0
Jefferson,5771,76
Jim Hogg,54,1
Jim Wells,670,13
Johnson,1760,30
Jones,632,0
Karnes,556,6
Kaufman,2071,23
Kendall,156,4
Kenedy,6,1
Kent,3,0
Kerr,394,6
Kimble,13,0
King,0,0
Kinney,19,0
Kleberg,416,7
Knox,56,1
La Salle,357,1
Lamar,652,18
Lamb,218,10
Lampasas,88,2
Lavaca,618,14
Lee,163,9
Leon,138,2
Liberty,925,32
Limestone,209,3
Lipscomb,16,0
Live Oak,222,2
Llano,88,1
Loving,0,0
Lubbock,5811,69
Lynn,66,4
Madison,650,2
Marion,129,8
Martin,53,4
Mason,51,0
Matagorda,711,25
Maverick,2210,37
McCulloch,45,1
McLennan,4748,49
McMullen,8,0
Medina,621,25
Menard,17,0
Midland,2492,30
Milam,332,3
Mills,16,0
Mitchell,59,0
Montague,64,1
Montgomery,6459,76
Moore,1044,13
Morris,100,1
Motley,4,0
Nacogdoches,1094,40
Navarro,831,8
Newton,93,4
Nolan,132,3
Nueces,10576,131
Ochiltree,91,2
Oldham,14,1
Orange,1369,18
Palo Pinto,244,6
Panola,280,17
Parker,1178,18
Parmer,328,7
Pecos,236,1
Polk,700,11
Potter,3607,39
Presidio,46,0
Rains,51,1
Randall,1683,19
Reagan,61,3
Real,87,1
Red River,136,11
Reeves,147,5
Refugio,216,3
Roberts,6,0
Robertson,226,2
Rockwall,813,12
Runnels,117,1
Rusk,354,2
Sabine,51,6
San Augustine,160,11
San Jacinto,175,8
San Patricio,882,20
San Saba,23,0
Schleicher,36,1
Scurry,473,1
Shackelford,17,0
Shelby,397,18
Sherman,39,0
Smith,2446,20
Somervell,66,0
Starr,2091,52
Stephens,34,3
Sterling,0,0
Stonewall,5,0
Sutton,62,1
Swisher,79,2
Tarrant,30227,422
Taylor,1108,22
Terrell,2,0
Terry,132,2
Throckmorton,4,2
Titus,1184,14
Tom Green,1675,21
Travis,22024,247
Trinity,155,3
Tyler,116,2
Upshur,207,2
Upton,17,1
Uvalde,520,9
Val Verde,1332,29
Van Zandt,368,3
Victoria,3392,37
Walker,2861,41
Waller,431,4
Ward,88,1
Washington,498,39
Webb,7119,86
Wharton,666,25
Wheeler,33,0
Wichita,962,11
Wilbarger,61,1
Willacy,669,22
Williamson,5949,86
Wilson,434,18
Winkler,73,1
Wise,375,6
Wood,316,5
Yoakum,96,3
Young,151,4
Zapata,167,2
Zavala,202,5
Unknown,0,2
Total,467485,7803
Probable cases are not included in the total case numbers,NA,NA
