no,county,positive,fatalities
1,Anderson,16,0
2,Andrews,19,0
3,Angelina,33,0
4,Aransas,2,0
5,Armstrong,1,0
6,Atascosa,14,1
7,Austin,12,0
8,Bandera,4,0
9,Bastrop,57,2
10,Bee,6,0
11,Bell,161,3
12,Bexar,1167,43
13,Blanco,6,0
14,Bosque,3,0
15,Bowie,67,1
16,Brazoria,392,3
17,Brazos,177,16
18,Brooks,1,0
19,Brown,17,1
20,Burleson,11,0
21,Burnet,14,0
22,Caldwell,10,0
23,Calhoun,23,2
24,Callahan,1,0
25,Cameron,333,12
26,Camp,6,0
27,Carson,1,0
28,Cass,12,0
29,Castro,13,1
30,Chambers,41,0
31,Cherokee,12,1
32,Childress,1,0
33,Clay,3,0
34,Cochran,1,0
35,Collin,609,14
36,Colorado,10,0
37,Comal,48,6
38,Comanche,3,0
39,Concho,1,0
40,Cooke,4,0
41,Coryell,103,1
42,Crane,2,0
43,Crosby,2,1
44,Dallam,4,1
45,Dallas,2763,72
46,Dawson,18,1
47,Deaf Smith,21,0
48,Delta,1,0
49,Denton,661,19
50,DeWitt,14,1
51,Dickens,1,0
52,Dimmit,1,0
53,Donley,24,0
54,Duval,1,0
55,Eastland,3,0
56,Ector,67,4
57,El Paso,674,10
58,Ellis,121,4
59,Erath,12,1
60,Falls,1,0
61,Fannin,13,0
62,Fayette,15,1
63,Floyd,3,0
64,Fort Bend,889,20
65,Franklin,1,0
66,Freestone,3,0
67,Frio,1,0
68,Gaines,2,0
69,Galveston,507,21
70,Gillespie,1,0
71,Goliad,6,0
72,Gonzales,4,0
73,Gray,32,0
74,Grayson,19,0
75,Gregg,58,0
76,Grimes,13,1
77,Guadalupe,64,0
78,Hale,19,4
79,Hamilton,5,0
80,Hansford,2,0
81,Hardin,91,3
82,Harris,5330,82
83,Harrison,69,1
84,Hartley,4,0
85,Hays,140,1
86,Hemphill,1,0
87,Henderson,22,0
88,Hidalgo,290,4
89,Hill,15,1
90,Hockley,19,1
91,Hood,16,2
92,Hopkins,4,0
93,Houston,4,0
94,Howard,4,1
95,Hunt,37,2
96,Hutchinson,10,0
97,Jack,4,0
98,Jackson,6,0
99,Jasper,10,0
100,Jefferson,234,16
101,Jim Hogg,1,0
102,Jim Wells,2,0
103,Johnson,54,1
104,Jones,7,0
105,Karnes,3,0
106,Kaufman,62,0
107,Kendall,15,0
108,Kerr,5,0
109,Kleberg,7,1
110,Knox,1,0
111,La Salle,1,0
112,Lamar,8,0
113,Lamb,2,0
114,Lampasas,2,0
115,Lavaca,5,0
116,Lee,2,0
117,Leon,5,0
118,Liberty,37,0
119,Limestone,11,1
120,Live Oak,5,0
121,Llano,3,0
122,Lubbock,481,40
123,Lynn,5,1
124,Madison,2,0
125,Marion,6,0
126,Martin,2,0
127,Mason,1,0
128,Matagorda,58,3
129,Maverick,14,0
130,McCulloch,3,0
131,McLennan,81,4
132,Medina,17,2
133,Midland,69,5
134,Milam,13,1
135,Mitchell,1,0
136,Montague,6,1
137,Montgomery,467,8
138,Moore,186,2
139,Morris,5,0
140,Motley,1,0
141,Nacogdoches,115,6
142,Navarro,26,2
143,Newton,2,0
144,Nolan,1,0
145,Nueces,91,1
146,Ochiltree,1,0
147,Oldham,3,1
148,Orange,63,0
149,Palo Pinto,7,1
150,Panola,70,1
151,Parker,23,0
152,Parmer,4,0
153,Pecos,6,0
154,Polk,18,0
155,Potter,221,5
156,Rains,2,0
157,Randall,137,3
158,Red River,1,0
159,Roberts,2,0
160,Robertson,2,0
161,Rockwall,49,0
162,Rusk,30,1
163,Sabine,1,0
164,San Augustine,16,1
165,San Jacinto,8,0
166,San Patricio,11,0
167,Scurry,2,0
168,Shelby,86,0
169,Sherman,10,0
170,Smith,131,3
171,Starr,7,0
172,Stephens,1,0
173,Swisher,7,0
174,Tarrant,1559,45
175,Taylor,191,3
176,Terry,10,0
177,Titus,15,0
178,Tom Green,42,1
179,Travis,1312,31
180,Trinity,8,0
181,Tyler,6,0
182,Upshur,13,0
183,Uvalde,6,0
184,Val Verde,12,0
185,Van Zandt,13,1
186,Victoria,105,2
187,Walker,151,2
188,Waller,25,0
189,Washington,78,6
190,Webb,321,12
191,Wharton,36,0
192,Wheeler,3,0
193,Wichita,62,2
194,Wilbarger,1,0
195,Willacy,10,1
196,Williamson,182,5
197,Wilson,25,2
198,Winkler,3,0
199,Wise,14,2
200,Wood,7,0
201,Yoakum,1,0
202,Young,4,1
203,Zapata,7,0
204,Zavala,1,0
