county,positive,fatalities
Anderson,41,0
Andrews,21,0
Angelina,100,0
Aransas,2,0
Archer,0,0
Armstrong,2,0
Atascosa,22,1
Austin,14,0
Bailey,2,0
Bandera,6,0
Bastrop,106,2
Baylor,0,0
Bee,6,0
Bell,218,3
Bexar,1805,54
Blanco,6,0
Borden,0,0
Bosque,5,0
Bowie,76,2
Brazoria,613,8
Brazos,243,17
Brewster,1,0
Briscoe,1,0
Brooks,1,0
Brown,38,6
Burleson,15,0
Burnet,25,0
Caldwell,25,0
Calhoun,36,3
Callahan,6,1
Cameron,483,20
Camp,7,0
Carson,3,0
Cass,17,0
Castro,22,1
Chambers,47,0
Cherokee,18,1
Childress,1,0
Clay,3,0
Cochran,1,0
Coke,1,0
Coleman,2,0
Collin,857,24
Collingsworth,1,0
Colorado,13,0
Comal,65,6
Comanche,3,1
Concho,1,0
Cooke,11,0
Coryell,205,2
Cottle,3,0
Crane,2,0
Crockett,0,0
Crosby,2,1
Culberson,0,0
Dallam,11,0
Dallas,5120,125
Dawson,30,1
DeWitt,15,1
Deaf Smith,46,0
Delta,1,0
Denton,872,23
Dickens,1,0
Dimmit,1,0
Donley,25,0
Duval,3,0
Eastland,3,0
Ector,94,4
Edwards,0,0
El Paso,1190,30
Ellis,193,11
Erath,14,1
Falls,6,0
Fannin,23,1
Fayette,21,1
Fisher,0,0
Floyd,4,0
Foard,0,0
Fort Bend,1332,33
Franklin,3,0
Freestone,7,0
Frio,25,0
Gaines,3,0
Galveston,672,28
Garza,3,0
Gillespie,4,0
Glasscock,1,0
Goliad,7,0
Gonzales,31,2
Gray,73,0
Grayson,78,0
Gregg,117,0
Grimes,37,1
Guadalupe,92,0
Hale,37,4
Hall,0,0
Hamilton,6,0
Hansford,12,2
Hardeman,0,0
Hardin,113,3
Harris,7377,154
Harrison,180,6
Hartley,7,2
Haskell,0,0
Hays,195,1
Hemphill,1,0
Henderson,36,0
Hidalgo,368,7
Hill,19,1
Hockley,20,1
Hood,19,3
Hopkins,7,0
Houston,10,0
Howard,6,1
Hudspeth,0,0
Hunt,56,3
Hutchinson,19,0
Irion,0,0
Jack,4,0
Jackson,14,0
Jasper,19,1
Jeff Davis,0,0
Jefferson,353,25
Jim Hogg,3,0
Jim Wells,5,0
Johnson,99,4
Jones,87,0
Karnes,3,0
Kaufman,111,1
Kendall,18,0
Kenedy,0,0
Kent,0,0
Kerr,7,0
Kimble,1,0
King,0,0
Kinney,0,0
Kleberg,10,1
Knox,1,0
La Salle,1,0
Lamar,77,0
Lamb,5,0
Lampasas,6,0
Lavaca,6,1
Lee,4,0
Leon,9,0
Liberty,49,1
Limestone,13,1
Lipscomb,2,0
Live Oak,5,0
Llano,3,0
Loving,0,0
Lubbock,582,48
Lynn,5,1
Madison,3,0
Marion,16,0
Martin,3,1
Mason,28,0
Matagorda,62,3
Maverick,26,0
McCulloch,3,0
McLennan,94,4
McMullen,0,0
Medina,22,2
Menard,0,0
Midland,100,10
Milam,18,1
Mills,0,0
Mitchell,1,0
Montague,9,1
Montgomery,689,15
Moore,487,7
Morris,9,0
Motley,1,0
Nacogdoches,202,7
Navarro,36,2
Newton,4,0
Nolan,2,0
Nueces,123,3
Ochiltree,29,1
Oldham,3,1
Orange,81,2
Palo Pinto,9,2
Panola,138,3
Parker,44,0
Parmer,17,0
Pecos,14,0
Polk,35,0
Potter,1027,15
Presidio,0,0
Rains,2,0
Randall,343,3
Reagan,0,0
Real,0,0
Red River,3,0
Reeves,1,0
Refugio,1,0
Roberts,2,0
Robertson,5,0
Rockwall,100,4
Runnels,2,0
Rusk,40,1
Sabine,2,0
San Augustine,21,1
San Jacinto,10,0
San Patricio,16,0
San Saba,0,0
Schleicher,0,0
Scurry,2,0
Shackelford,1,0
Shelby,149,4
Sherman,20,0
Smith,170,3
Somervell,0,0
Starr,14,0
Stephens,1,0
Sterling,0,0
Stonewall,0,0
Sutton,0,0
Swisher,11,0
Tarrant,2956,90
Taylor,207,6
Terrell,0,0
Terry,12,0
Throckmorton,0,0
Titus,29,0
Tom Green,59,1
Travis,2002,59
Trinity,11,0
Tyler,7,0
Upshur,17,0
Upton,0,0
Uvalde,6,0
Val Verde,13,0
Van Zandt,18,1
Victoria,146,5
Walker,332,2
Waller,36,0
Ward,0,0
Washington,156,18
Webb,414,17
Wharton,41,0
Wheeler,13,0
Wichita,71,2
Wilbarger,2,0
Willacy,14,1
Williamson,352,12
Wilson,34,4
Winkler,3,0
Wise,28,2
Wood,13,0
Yoakum,2,0
Young,4,1
Zapata,7,0
Zavala,1,0
Total,36609,1004
