county,cases,fatalities
Anderson,76,0
Andrews,27,0
Angelina,215,5
Aransas,5,0
Archer,1,0
Armstrong,3,0
Atascosa,37,2
Austin,27,0
Bailey,17,0
Bandera,6,0
Bastrop,220,3
Baylor,0,0
Bee,10,0
Bell,391,4
Bexar,2839,75
Blanco,11,1
Borden,0,0
Bosque,7,0
Bowie,270,6
Brazoria,929,12
Brazos,487,19
Brewster,1,0
Briscoe,1,0
Brooks,1,0
Brown,59,10
Burleson,25,0
Burnet,39,0
Caldwell,67,0
Calhoun,37,3
Callahan,9,1
Cameron,776,36
Camp,84,0
Carson,6,0
Cass,30,0
Castro,33,1
Chambers,68,0
Cherokee,46,2
Childress,2,0
Clay,4,0
Cochran,1,0
Coke,1,0
Coleman,3,0
Collin,1312,34
Collingsworth,5,0
Colorado,23,0
Comal,100,7
Comanche,12,1
Concho,1,0
Cooke,16,0
Coryell,285,2
Cottle,4,1
Crane,25,5
Crockett,0,0
Crosby,4,1
Culberson,0,0
Dallam,26,0
Dallas,10462,229
Dawson,42,1
DeWitt,17,1
Deaf Smith,163,13
Delta,1,0
Denton,1398,32
Dickens,1,0
Dimmit,1,0
Donley,26,0
Duval,5,0
Eastland,6,0
Ector,161,5
Edwards,0,0
El Paso,2833,83
Ellis,325,15
Erath,17,1
Falls,9,0
Fannin,40,2
Fayette,34,2
Fisher,2,1
Floyd,11,0
Foard,0,0
Fort Bend,1881,44
Franklin,16,0
Freestone,10,0
Frio,37,0
Gaines,7,0
Galveston,847,37
Garza,5,0
Gillespie,5,0
Glasscock,1,0
Goliad,7,0
Gonzales,132,2
Gray,100,2
Grayson,342,2
Gregg,236,6
Grimes,218,1
Guadalupe,133,0
Hale,58,4
Hall,2,0
Hamilton,8,1
Hansford,19,2
Hardeman,1,0
Hardin,138,5
Harris,12664,235
Harrison,247,25
Hartley,12,2
Haskell,3,0
Hays,353,4
Hemphill,1,0
Henderson,59,2
Hidalgo,584,11
Hill,24,1
Hockley,27,1
Hood,27,3
Hopkins,26,0
Houston,114,0
Howard,9,1
Hudspeth,2,0
Hunt,89,4
Hutchinson,42,0
Irion,1,0
Jack,4,0
Jackson,19,1
Jasper,29,1
Jeff Davis,0,0
Jefferson,562,28
Jim Hogg,4,0
Jim Wells,9,0
Johnson,176,4
Jones,606,0
Karnes,4,0
Kaufman,227,2
Kendall,30,0
Kenedy,0,0
Kent,0,0
Kerr,20,0
Kimble,1,0
King,0,0
Kinney,1,0
Kleberg,17,1
Knox,1,0
La Salle,4,0
Lamar,145,11
Lamb,16,0
Lampasas,9,0
Lavaca,13,1
Lee,24,1
Leon,10,0
Liberty,95,3
Limestone,26,1
Lipscomb,2,0
Live Oak,9,0
Llano,3,0
Loving,0,0
Lubbock,704,50
Lynn,7,1
Madison,8,0
Marion,16,1
Martin,3,1
Mason,32,0
Matagorda,67,5
Maverick,120,1
McCulloch,3,0
McLennan,120,4
McMullen,0,0
Medina,73,2
Menard,0,0
Midland,132,12
Milam,29,1
Mills,1,0
Mitchell,1,0
Montague,9,1
Montgomery,966,26
Moore,838,13
Morris,26,0
Motley,1,0
Nacogdoches,290,21
Navarro,57,2
Newton,5,0
Nolan,2,0
Nueces,275,3
Ochiltree,49,2
Oldham,4,1
Orange,98,2
Palo Pinto,13,2
Panola,180,23
Parker,79,1
Parmer,59,0
Pecos,102,0
Polk,60,0
Potter,2354,30
Presidio,1,0
Rains,3,0
Randall,688,6
Reagan,2,0
Real,0,0
Red River,72,8
Reeves,7,0
Refugio,3,0
Roberts,2,0
Robertson,11,0
Rockwall,171,14
Runnels,2,0
Rusk,56,2
Sabine,15,0
San Augustine,44,2
San Jacinto,14,0
San Patricio,36,0
San Saba,1,0
Schleicher,0,0
Scurry,32,0
Shackelford,1,0
Shelby,203,6
Sherman,27,0
Smith,210,4
Somervell,0,0
Starr,36,0
Stephens,4,0
Sterling,0,0
Stonewall,0,0
Sutton,0,0
Swisher,17,0
Tarrant,5534,165
Taylor,241,5
Terrell,0,0
Terry,13,0
Throckmorton,0,0
Titus,467,2
Tom Green,70,1
Travis,3360,93
Trinity,15,0
Tyler,12,0
Upshur,27,0
Upton,0,0
Uvalde,14,0
Val Verde,21,0
Van Zandt,34,1
Victoria,160,7
Walker,1574,27
Waller,63,0
Ward,1,0
Washington,205,25
Webb,551,19
Wharton,64,0
Wheeler,15,0
Wichita,85,2
Wilbarger,7,0
Willacy,21,2
Williamson,630,25
Wilson,40,5
Winkler,3,0
Wise,47,3
Wood,33,3
Yoakum,3,0
Young,4,1
Zapata,10,0
Zavala,12,0
Total,66568,1698
