county_name,population,03_04,03_05,03_06,03_09,03_10,03_11,03_12,03_13,03_15,03_16,03_17,03_18,03_19,03_20,03_21,03_22,03_23,03_24,03_25,03_26,03_27,03_28,03_29,03_30,03_31,04_01,04_02,04_03,04_04,04_05,04_06,04_07,04_08,04_09,04_10,04_11,04_12,04_13,04_14,04_15,04_16,04_17,04_18,04_19,04_20,04_21,04_22,04_23,04_24,04_25,04_26,04_27,04_28,04_29,04_30,05_01,05_02,05_03,05_04,05_05,05_06,05_07,05_08,05_09,05_10,05_11,05_12,05_13,05_14,05_15,05_16,05_17,05_18,05_19,05_20,05_21,05_22,05_23,05_24,05_25,05_26,05_27,05_28,05_29,05_30,05_31,06_01,06_02,06_03,06_04,06_05,06_06,06_07,06_08,06_09,06_10,06_11,06_12,06_13,06_14,06_15,06_16,06_17,06_18,06_19,06_20,06_21,06_22,06_23,06_24,06_25,06_26,06_27,06_28,06_29,06_30,07_01,07_02,07_03,07_04,07_05,07_06,07_07,07_08,07_09,07_10,07_11
Coke,3215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6
Coleman,8478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5
Collin,1039369,0,0,0,1,3,3,3,3,6,6,6,6,7,12,14,21,24,38,45,53,88,118,128,134,160,184,184,227,256,256,287,306,343,378,406,425,441,453,472,477,494,505,521,522,527,544,570,584,609,639,654,663,676,692,710,724,766,784,789,804,828,839,857,887,901,918,939,963,978,993,1008,1016,1028,1047,1073,1090,1118,1132,1136,1151,1157,1189,1217,1236,1278,1297,1312,1312,1346,1388,1430,1447,1447,1447,1528,1546,1553,1560,1638,1647,1667,1787,1866,1967,2026,2064,2189,2223,2250,2359,2449,2486,2532,2671,2763,2882,2997,3114,3199,3321,3409,3521,3707,3825,3948,4108,4308
Collingsworth,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Colorado,21273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,6,7,7,7,7,7,7,7,8,8,8,9,9,10,10,10,10,10,10,10,10,11,11,10,10,10,12,12,13,16,16,16,16,18,18,18,18,18,18,19,19,19,19,19,19,20,20,21,22,22,22,22,22,23,23,24,24,24,24,24,26,27,28,31,33,33,34,36,41,44,46,55,55,55,55,58,66,71,82,87,87,87,93,95,100,104,104,108,109,111,143,152,161
Comal,147330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,7,9,9,9,9,11,11,12,18,18,21,21,22,27,29,34,37,37,37,38,39,43,43,43,43,43,43,45,47,48,48,48,48,49,52,54,55,58,58,58,58,59,61,65,65,65,65,65,68,68,68,70,70,70,71,72,78,81,82,82,82,82,83,87,90,94,94,99,100,108,111,113,117,117,117,121,134,137,141,151,159,159,159,197,207,219,240,280,280,280,332,374,395,435,470,470,470,525,599,635,690,690,690,750,750,825,866,952
Comanche,13075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,10,10,10,10,9,9,9,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,18,19,21,21,21,21,21,25,25,26,26
Concho,4147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,5,7,7,7,9,9,9,9,11,11,11,11,11,13,13,13
Cooke,39727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,8,7,7,8,8,9,9,11,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,16,18,19,20,20,20,20,20,20,23,23,23,23,23,24,26,27,27,27,27,27,30,30,30,30,35,35,35,43,43,43,60,61,61,61,68,75,83,86,87
Coryell,78317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,4,5,8,11,12,17,18,34,34,34,34,60,70,71,75,75,75,84,86,86,103,104,105,105,105,105,155,158,160,162,162,180,190,201,205,207,208,208,211,217,220,221,224,224,224,226,225,226,226,226,226,226,227,227,227,230,231,281,282,285,289,289,289,290,289,289,296,299,296,299,299,300,300,300,303,304,305,305,310,315,321,322,321,327,326,327,330,331,331,335,336,336,336,336,336,353,356,374,398
Cottle,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Crane,6209,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,7,22,22,22,22,22,23,23,23,25,25,25,26,27,27,27,28,31,32,32,32,32,32,39,39,45,45,46,46,47,47,48,49,50,50,50,50,54,57,57,58,60,60,60,61,62,62,63,64
Crockett,4040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,8,9,10,11,13,13,13,13,15,16,18,29,35
Crosby,6464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,7,8,8,8,8,8,8,9,13,13,15,15,15,15,21,25,26,26,26,26,26,28,30,34,33,35
Culberson,2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,6,6
Dallam,7237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,3,3,2,2,3,3,4,8,8,8,8,10,10,10,12,12,13,10,10,10,11,13,13,14,16,17,19,21,20,22,22,18,18,18,18,22,22,22,22,22,24,25,25,25,25,26,27,27,27,27,27,27,29,32,35,36,35,35,35,36,39,45,49,49,49,58,62,76,79,75,84,84,84,83,85,91,91,91,91,91,102,104,104,116,116
Dallas,2734111,0,0,0,0,0,2,3,3,8,8,9,15,20,22,30,30,33,131,169,303,367,367,439,488,549,631,731,831,921,1015,1112,1155,1261,1324,1432,1537,1644,1723,1788,1877,1986,2066,2190,2324,2428,2512,2602,2683,2763,2834,2909,3014,3105,3240,3352,3531,3718,3899,4133,4370,4623,4869,5120,5369,5619,5870,6123,6359,6602,6837,7036,7250,7455,7679,7904,7904,8273,8477,8649,8827,8998,9188,9385,9587,9787,10006,10234,10462,10719,10958,11243,11541,11830,12093,12347,12645,12945,13257,13585,13930,14232,14537,14843,15256,15648,16042,16437,16845,17299,17744,18135,18538,19034,19595,20165,20737,21338,21882,22590,23675,24778,25840,27054,28131,29160,30361,31525
Dawson,13592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,5,5,5,5,6,6,8,8,8,8,12,12,12,13,14,14,18,18,18,21,21,21,21,24,24,26,26,26,29,30,30,30,30,30,30,30,32,32,36,38,38,38,38,39,39,39,39,39,39,40,40,40,41,42,42,42,42,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,52,52,59,59,70,70,70,70,70,75,75,83
Deaf Smith,18143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,5,5,7,7,7,7,7,7,7,8,11,11,11,11,11,12,12,14,14,17,21,21,21,25,26,26,31,31,34,35,37,38,41,41,46,46,59,59,67,92,93,119,120,122,122,133,139,141,153,157,157,157,156,158,161,162,164,164,164,163,166,166,174,176,176,176,183,190,192,203,212,212,212,222,223,226,233,233,233,242,254,262,268,284,287,287,287,292,305,324,337,355,355,355,371,383,401,403,409
Delta,5367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7
Denton,897953,0,0,0,0,0,0,0,0,0,0,1,4,4,6,11,12,12,30,30,70,83,137,148,165,191,206,231,254,273,288,304,337,366,398,426,454,474,482,507,521,547,564,585,592,593,598,619,644,661,680,702,713,725,738,748,765,786,799,803,806,832,846,872,902,914,922,946,968,989,1016,1040,1051,1069,1088,1116,1161,1188,1205,1212,1224,1233,1255,1285,1318,1329,1357,1373,1398,1416,1435,1454,1467,1486,1500,1524,1559,1599,1632,1687,1719,1736,1772,1812,1893,1980,2054,2113,2163,2219,2302,2417,2494,2581,2630,2670,2740,2845,2951,3032,3184,3279,3338,3403,3459,3582,3697,3810
DeWitt,21737,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,4,4,6,6,7,7,7,7,8,8,9,9,9,10,10,10,10,13,13,13,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,23,24,25,26,28,28,28,31,31,35,35,37,37,37,42,42,43,47,56,56,56,56,70,70,96,96,96,96,110,110,131,131,159
Dickens,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dimmit,11743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,9,11,11,11,13,13,13,13,13,13,13,18,18,25,30,31
Donley,3410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,7,7,7,13,14,21,23,22,22,22,22,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,26,26,25,25,25,26,25,25,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,32
Duval,11796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,9,10,15,20,41,50,54,54,56,57,62,65,67,70,74,75
Eastland,18205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,11,11,13,17,17,20
Ector,184841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,11,12,15,22,22,26,30,30,34,39,40,41,43,45,46,48,55,58,58,58,60,61,62,67,67,67,70,76,78,81,78,78,81,78,84,85,90,94,95,95,99,100,100,102,103,109,114,114,115,124,130,134,136,144,146,151,152,152,152,154,154,154,161,167,175,185,187,187,187,206,214,221,227,238,238,238,260,275,289,300,325,325,325,359,396,434,480,506,506,506,558,558,670,718,718,718,718,946,946,1105,1105,1235
Edwards,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4
Ellis,177721,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,6,6,10,13,13,15,16,20,26,27,29,29,29,35,41,50,58,66,66,66,72,76,81,82,83,83,90,100,110,111,121,127,127,133,133,143,148,148,166,166,169,176,184,188,193,202,202,211,216,221,236,241,247,247,247,258,264,266,272,272,272,272,289,290,305,309,317,317,317,325,332,338,361,364,364,364,399,418,429,437,448,448,448,458,470,490,510,510,510,510,539,684,684,684,711,711,711,820,862,901,978,1046,1046,1046,1182,1351,1424,1485,1510
El Paso,876120,0,0,0,0,0,0,0,0,1,1,3,3,3,3,6,6,6,7,11,21,21,31,35,40,46,50,68,78,96,106,115,125,153,192,225,252,269,292,300,346,393,451,482,505,531,540,587,645,674,706,780,802,829,857,887,924,961,986,998,1029,1080,1119,1190,1276,1322,1340,1348,1413,1456,1607,1655,1726,1772,1852,1930,2046,2160,2265,2340,2376,2393,2461,2569,2623,2704,2764,2794,2833,2872,3069,3213,3298,3376,3376,3512,3582,3650,3695,3794,3834,3911,3948,3999,4088,4178,4340,4488,4553,4677,4809,4984,5217,5330,5614,5745,5928,6124,6389,6665,6953,6953,7461,7642,8035,8385,8746,9099
Erath,41526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,7,7,7,8,9,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,15,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,17,17,17,17,17,17,25,26,26,26,29,29,30,32,36,36,36,37,41,43,44,44,44,44,44,69,69,69,69,69,69,87,92,103,133,146,146,146,160,186,200,207,216
Falls,16603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,9,9,10,11,11,11,11,13,13,14,14,14,17,17,18,19,21,22,22,22,23,25,25,25,25,25,26,28,29,31,31,31,34,34,35,35,44,46,50,56
Fannin,34597,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,5,5,5,5,5,5,5,5,7,7,8,9,12,13,13,15,15,16,17,18,18,18,19,19,20,20,22,23,23,23,23,23,23,24,24,24,25,25,25,27,28,29,34,34,34,34,37,37,37,38,41,41,41,40,41,41,42,43,43,43,49,50,51,52,54,54,54,55,59,65,65,65,65,65,67,82,82,82,82,82,82,88,91,96,109,112,112,112,122,122,130,135,137
Fayette,26086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,4,10,10,11,9,9,9,8,9,9,10,10,10,12,13,15,15,15,15,14,15,15,15,14,14,14,14,14,14,15,15,15,15,17,17,19,21,24,25,25,26,26,28,26,29,29,29,31,31,31,32,32,32,32,32,32,34,34,34,34,34,34,36,38,38,38,38,38,38,39,43,44,43,44,44,45,52,51,52,58,60,66,71,75,76,75,75,80,86,86,90,95,96,104,104,104,104,134,136,142,151
Fisher,3985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,8,10,10,11,11,11,11,11,11,13
Floyd,5786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,7,8,11,11,11,11,11,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,18,18,19,21,21,22,22,22,22,22,28,31,34,34,36,36,36,46,49,49,50,52
Foard,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Fort Bend,840383,0,0,1,6,6,6,6,6,9,9,9,9,9,11,11,11,11,29,46,54,86,101,101,119,119,163,194,221,255,268,280,318,417,437,485,518,536,536,543,627,627,656,755,755,783,799,808,870,889,905,919,952,957,973,1018,1052,1079,1133,1183,1187,1245,1287,1332,1357,1370,1385,1404,1404,1452,1471,1510,1558,1559,1559,1581,1621,1652,1661,1676,1685,1732,1732,1766,1783,1832,1861,1881,1881,1916,1951,2032,2117,2117,2117,2138,2225,2299,2320,2358,2385,2385,2402,2496,2667,2726,2882,2951,3069,3132,3176,3267,3397,3645,3716,3716,3722,3782,3868,3999,4120,4120,4120,4286,4346,4413,4524,4617
Franklin,10924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,5,5,6,7,8,8,9,11,12,12,12,13,13,13,15,15,16,16,17,18,18,19,19,19,22,22,24,24,27,27,27,27,29,30,30,31,33,33,35,35,36,39,41,41,41,41,41,47,50,50,50,50,53,53,53,55,55
Freestone,19860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,13,12,15,15,15,15,17,17,19,18,18,19,19,20,20,21,23,20,20,28,28,29,31,33,33,33,39,39,59,64,69,73
Frio,20023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,7,7,7,8,10,10,10,10,25,25,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,36,36,36,37,37,37,37,37,37,37,37,37,40,40,46,46,50,54,54,57,64,79,79,79,80,86,119,130,139,139,142,157,157,173,181,178,178,192,218,225,225,233,233,233,238,239,293,298,338
Gaines,22121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,16,16,26,26,28,28,28,30,36,39,39,43
Galveston,355196,0,0,0,0,0,0,0,0,1,1,1,2,2,4,6,9,15,18,21,27,40,49,49,70,92,106,118,130,136,222,240,256,272,287,308,341,355,355,377,392,401,421,438,450,455,468,479,491,507,522,539,541,548,554,572,595,614,629,636,648,659,669,672,676,680,685,686,688,691,693,696,701,702,706,715,721,732,740,749,752,753,763,779,788,795,807,817,847,857,876,906,906,972,994,1026,1051,1084,1114,1166,1237,1255,1312,1378,1486,1535,1642,1784,1867,1968,2040,2266,2415,2667,2821,2923,3062,3293,3565,3778,3990,3990,3990,4586,4809,5063,5320,5630
Garza,6784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,11,11,12,12,12,12,12,12,12,12,12,12,14,18,19,20,21
Gillespie,26191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,9,9,10,16,17,17,17,23,29,33,33,33,33,33,42,42,41,42,45,45,45,49,53,55,63,65
Glasscock,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
Goliad,7717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,12,12,12,14,14,15,15,15,15,14,15,15,21,27,30
Gonzales,21347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,8,12,12,14,18,20,21,23,27,30,31,31,31,31,40,53,59,59,62,70,73,75,79,85,86,88,90,91,91,91,91,91,100,111,118,121,129,129,132,143,144,147,149,151,151,153,155,157,157,165,166,166,169,172,175,203,213,215,215,217,231,235,244,247,248,248,260,261,297,301,306,306,307,314,314,316,318,323
