county,cases,fatalities
Anderson,54,0
Andrews,22,0
Angelina,139,1
Aransas,3,0
Archer,1,0
Armstrong,2,0
Atascosa,30,1
Austin,19,0
Bailey,6,0
Bandera,6,0
Bastrop,132,2
Baylor,0,0
Bee,6,0
Bell,248,3
Bexar,2120,62
Blanco,6,0
Borden,0,0
Bosque,6,0
Bowie,130,3
Brazoria,721,9
Brazos,312,18
Brewster,1,0
Briscoe,1,0
Brooks,1,0
Brown,51,7
Burleson,18,0
Burnet,28,0
Caldwell,36,0
Calhoun,36,3
Callahan,8,1
Cameron,582,26
Camp,21,0
Carson,3,0
Cass,19,0
Castro,26,1
Chambers,52,0
Cherokee,34,1
Childress,2,0
Clay,3,0
Cochran,1,0
Coke,1,0
Coleman,2,0
Collin,1008,31
Collingsworth,4,0
Colorado,18,0
Comal,70,6
Comanche,3,1
Concho,1,0
Cooke,13,0
Coryell,224,2
Cottle,4,1
Crane,2,0
Crockett,0,0
Crosby,2,1
Culberson,0,0
Dallam,20,0
Dallas,7036,164
Dawson,38,1
DeWitt,17,1
Deaf Smith,120,6
Delta,1,0
Denton,1040,28
Dickens,1,0
Dimmit,1,0
Donley,25,0
Duval,5,0
Eastland,5,0
Ector,109,4
Edwards,0,0
El Paso,1655,45
Ellis,247,12
Erath,15,1
Falls,6,0
Fannin,25,2
Fayette,29,2
Fisher,1,0
Floyd,4,0
Foard,0,0
Fort Bend,1510,40
Franklin,5,0
Freestone,7,0
Frio,35,0
Gaines,5,0
Galveston,696,31
Garza,4,0
Gillespie,4,0
Glasscock,1,0
Goliad,7,0
Gonzales,75,2
Gray,91,0
Grayson,140,0
Gregg,170,0
Grimes,65,1
Guadalupe,109,0
Hale,43,4
Hall,0,0
Hamilton,7,0
Hansford,16,2
Hardeman,0,0
Hardin,117,4
Harris,9050,199
Harrison,200,19
Hartley,9,2
Haskell,1,0
Hays,219,3
Hemphill,1,0
Henderson,48,0
Hidalgo,425,10
Hill,22,1
Hockley,23,1
Hood,22,3
Hopkins,8,0
Houston,76,0
Howard,6,1
Hudspeth,0,0
Hunt,66,3
Hutchinson,25,0
Irion,0,0
Jack,4,0
Jackson,15,1
Jasper,23,1
Jeff Davis,0,0
Jefferson,436,26
Jim Hogg,4,0
Jim Wells,8,0
Johnson,123,4
Jones,112,0
Karnes,3,0
Kaufman,147,1
Kendall,21,0
Kenedy,0,0
Kent,0,0
Kerr,10,0
Kimble,1,0
King,0,0
Kinney,0,0
Kleberg,14,1
Knox,1,0
La Salle,4,0
Lamar,111,4
Lamb,11,0
Lampasas,8,0
Lavaca,8,1
Lee,6,0
Leon,9,0
Liberty,75,2
Limestone,15,1
Lipscomb,2,0
Live Oak,6,0
Llano,3,0
Loving,0,0
Lubbock,616,50
Lynn,5,1
Madison,8,0
Marion,15,0
Martin,3,1
Mason,31,0
Matagorda,63,5
Maverick,57,0
McCulloch,3,0
McLennan,97,4
McMullen,0,0
Medina,49,2
Menard,0,0
Midland,120,12
Milam,23,1
Mills,0,0
Mitchell,1,0
Montague,9,1
Montgomery,798,18
Moore,544,11
Morris,11,0
Motley,1,0
Nacogdoches,233,17
Navarro,38,2
Newton,4,0
Nolan,2,0
Nueces,231,3
Ochiltree,39,2
Oldham,4,1
Orange,87,2
Palo Pinto,9,2
Panola,159,15
Parker,57,0
Parmer,25,0
Pecos,20,0
Polk,47,0
Potter,2080,23
Presidio,0,0
Rains,2,0
Randall,593,4
Reagan,0,0
Real,0,0
Red River,35,0
Reeves,3,0
Refugio,3,0
Roberts,2,0
Robertson,6,0
Rockwall,134,5
Runnels,2,0
Rusk,42,1
Sabine,3,0
San Augustine,22,1
San Jacinto,12,0
San Patricio,25,0
San Saba,0,0
Schleicher,0,0
Scurry,2,0
Shackelford,1,0
Shelby,173,5
Sherman,23,0
Smith,189,3
Somervell,0,0
Starr,17,0
Stephens,2,0
Sterling,0,0
Stonewall,0,0
Sutton,0,0
Swisher,14,0
Tarrant,4266,120
Taylor,217,6
Terrell,0,0
Terry,12,0
Throckmorton,0,0
Titus,96,1
Tom Green,61,1
Travis,2381,77
Trinity,11,0
Tyler,9,0
Upshur,18,0
Upton,0,0
Uvalde,6,0
Val Verde,13,0
Van Zandt,22,1
Victoria,154,6
Walker,405,19
Waller,39,0
Ward,0,0
Washington,181,22
Webb,469,17
Wharton,42,0
Wheeler,14,0
Wichita,78,2
Wilbarger,5,0
Willacy,14,1
Williamson,451,19
Wilson,36,4
Winkler,3,0
Wise,36,2
Wood,18,0
Yoakum,2,0
Young,4,1
Zapata,7,0
Zavala,9,0
Total,46999,1305
