county,cases,fatalities
Anderson,2307,9
Andrews,267,6
Angelina,1647,36
Aransas,158,12
Archer,20,0
Armstrong,8,0
Atascosa,405,15
Austin,213,3
Bailey,158,4
Bandera,83,3
Bastrop,1296,18
Baylor,7,0
Bee,626,9
Bell,3496,32
Bexar,34120,622
Blanco,98,4
Borden,0,0
Bosque,128,2
Bowie,708,31
Brazoria,6732,73
Brazos,3922,42
Brewster,184,2
Briscoe,11,1
Brooks,87,1
Brown,351,14
Burleson,231,5
Burnet,542,7
Caldwell,1071,23
Calhoun,453,3
Callahan,41,3
Cameron,13516,368
Camp,218,4
Carson,13,0
Cass,153,7
Castro,170,3
Chambers,894,2
Cherokee,783,4
Childress,34,0
Clay,34,1
Cochran,21,0
Coke,39,1
Coleman,11,0
Collin,6403,72
Collingsworth,7,0
Colorado,246,2
Comal,1679,63
Comanche,107,3
Concho,26,0
Cooke,200,3
Coryell,614,5
Cottle,14,2
Crane,75,2
Crockett,154,3
Crosby,52,1
Culberson,15,2
Dallam,179,5
Dallas,51108,650
Dawson,137,4
DeWitt,531,15
Deaf Smith,597,17
Delta,16,0
Denton,6938,75
Dickens,4,1
Dimmit,124,1
Donley,43,0
Duval,152,3
Eastland,51,1
Ector,2276,36
Edwards,24,0
El Paso,14914,251
Ellis,2472,34
Erath,462,5
Falls,110,2
Fannin,214,8
Fayette,300,13
Fisher,24,1
Floyd,83,5
Foard,2,0
Fort Bend,7191,146
Franklin,84,1
Freestone,139,0
Frio,475,5
Gaines,132,0
Galveston,8825,103
Garza,97,2
Gillespie,171,4
Glasscock,6,0
Goliad,77,3
Gonzales,617,7
Gray,183,2
Grayson,1025,11
Gregg,1313,21
Grimes,849,20
Guadalupe,1597,44
Hale,1185,22
Hall,8,1
Hamilton,55,2
Hansford,59,2
Hardeman,15,0
Hardin,811,11
Harris,76642,1318
Harrison,624,22
Hartley,82,0
Haskell,35,0
Hays,4297,33
Hemphill,41,0
Henderson,577,9
Hidalgo,17353,457
Hill,308,3
Hockley,181,4
Hood,437,9
Hopkins,169,1
Houston,249,6
Howard,157,3
Hudspeth,22,2
Hunt,1059,20
Hutchinson,114,2
Irion,9,0
Jack,40,0
Jackson,320,5
Jasper,291,5
Jeff Davis,8,0
Jefferson,5506,73
Jim Hogg,53,1
Jim Wells,630,8
Johnson,1541,25
Jones,622,0
Karnes,300,4
Kaufman,1816,22
Kendall,145,2
Kenedy,6,1
Kent,2,0
Kerr,348,6
Kimble,13,0
King,0,0
Kinney,17,0
Kleberg,361,5
Knox,46,0
La Salle,357,1
Lamar,625,16
Lamb,203,7
Lampasas,84,1
Lavaca,593,14
Lee,153,8
Leon,138,1
Liberty,851,25
Limestone,199,3
Lipscomb,15,0
Live Oak,207,1
Llano,86,1
Loving,0,0
Lubbock,5593,65
Lynn,65,4
Madison,645,2
Marion,127,7
Martin,45,3
Mason,40,0
Matagorda,681,23
Maverick,1852,29
McCulloch,41,1
McLennan,4436,39
McMullen,8,0
Medina,595,24
Menard,16,0
Midland,2179,26
Milam,306,3
Mills,15,0
Mitchell,52,0
Montague,57,1
Montgomery,6196,73
Moore,1013,12
Morris,97,1
Motley,4,0
Nacogdoches,1035,36
Navarro,767,8
Newton,86,4
Nolan,131,3
Nueces,10067,102
Ochiltree,84,2
Oldham,13,1
Orange,1021,17
Palo Pinto,194,6
Panola,270,17
Parker,1070,12
Parmer,311,7
Pecos,209,1
Polk,659,9
Potter,3505,39
Presidio,44,0
Rains,45,1
Randall,1586,17
Reagan,58,3
Real,76,0
Red River,134,11
Reeves,136,3
Refugio,209,0
Roberts,7,0
Robertson,216,1
Rockwall,720,11
Runnels,107,1
Rusk,334,2
Sabine,44,6
San Augustine,155,11
San Jacinto,148,8
San Patricio,797,16
San Saba,22,0
Schleicher,35,1
Scurry,433,1
Shackelford,17,0
Shelby,381,16
Sherman,37,0
Smith,2309,17
Somervell,58,0
Starr,1894,51
Stephens,29,2
Sterling,0,0
Stonewall,4,0
Sutton,58,1
Swisher,75,2
Tarrant,29054,386
Taylor,1085,19
Terrell,2,0
Terry,116,2
Throckmorton,4,0
Titus,1170,14
Tom Green,1625,20
Travis,21214,236
Trinity,143,2
Tyler,115,2
Upshur,193,2
Upton,16,1
Uvalde,496,7
Val Verde,1332,18
Van Zandt,332,3
Victoria,3203,29
Walker,2840,38
Waller,408,3
Ward,83,1
Washington,497,38
Webb,6411,77
Wharton,635,21
Wheeler,31,0
Wichita,902,10
Wilbarger,50,1
Willacy,594,20
Williamson,5715,80
Wilson,414,16
Winkler,68,1
Wise,311,5
Wood,291,5
Yoakum,85,1
Young,139,4
Zapata,157,2
Zavala,175,5
Unknown,0,2
Total,442014,7016
Probable cases are not included in the total case numbers,NA,NA
"Texas is reporting 5,839 new confirmed cases for Aug. 3, including 471 for Bexar County. The San Antonio Metropolitan Health District has removed some duplicate cases, leading to an overall decrease in the number of Bexar County cases. For more information, visit https://covid19.sanantonio.gov/About-COVID-19/Case-Numbers-Table-Data.",NA,NA
