county,cases,fatalities
Anderson,2142,8
Andrews,228,5
Angelina,1405,30
Aransas,131,6
Archer,15,0
Armstrong,4,0
Atascosa,393,11
Austin,193,4
Bailey,132,3
Bandera,71,1
Bastrop,1195,17
Baylor,5,0
Bee,399,6
Bell,3078,25
Bexar,30529,480
Blanco,85,2
Borden,0,0
Bosque,103,1
Bowie,681,27
Brazoria,5573,50
Brazos,3724,40
Brewster,176,2
Briscoe,10,1
Brooks,77,1
Brown,311,13
Burleson,219,4
Burnet,507,10
Caldwell,999,19
Calhoun,393,2
Callahan,38,3
Cameron,7827,272
Camp,189,4
Carson,10,0
Cass,136,4
Castro,147,2
Chambers,812,2
Cherokee,655,4
Childress,20,0
Clay,25,1
Cochran,11,0
Coke,32,1
Coleman,9,0
Collin,5789,65
Collingsworth,6,0
Colorado,233,1
Comal,1539,54
Comanche,82,3
Concho,22,1
Cooke,172,3
Coryell,569,5
Cottle,7,2
Crane,65,2
Crockett,135,2
Crosby,46,2
Culberson,14,2
Dallam,173,5
Dallas,46813,581
Dawson,122,4
DeWitt,502,11
Deaf Smith,510,15
Delta,12,0
Denton,6121,67
Dickens,4,1
Dimmit,87,0
Donley,38,0
Duval,129,1
Eastland,39,1
Ector,1900,31
Edwards,22,0
El Paso,13240,216
Ellis,2268,32
Erath,355,2
Falls,103,1
Fannin,186,7
Fayette,281,12
Fisher,23,1
Floyd,65,4
Foard,2,0
Fort Bend,6530,120
Franklin,78,1
Freestone,129,0
Frio,425,5
Gaines,86,0
Galveston,8046,89
Garza,94,1
Gillespie,156,2
Glasscock,6,0
Goliad,68,1
Gonzales,569,8
Gray,150,3
Grayson,923,10
Gregg,1195,19
Grimes,804,18
Guadalupe,1519,33
Hale,1085,20
Hall,6,1
Hamilton,54,1
Hansford,47,2
Hardeman,11,0
Hardin,682,7
Harris,65349,1100
Harrison,574,22
Hartley,81,0
Haskell,30,0
Hays,4133,28
Hemphill,34,0
Henderson,500,8
Hidalgo,15153,244
Hill,264,1
Hockley,160,4
Hood,308,6
Hopkins,154,0
Houston,236,4
Howard,126,3
Hudspeth,19,2
Hunt,948,16
Hutchinson,105,2
Irion,6,0
Jack,24,0
Jackson,202,3
Jasper,268,5
Jeff Davis,8,0
Jefferson,5064,57
Jim Hogg,48,1
Jim Wells,531,3
Johnson,1234,21
Jones,621,0
Karnes,206,3
Kaufman,1440,17
Kendall,137,1
Kenedy,5,0
Kent,2,0
Kerr,324,4
Kimble,13,0
King,0,0
Kinney,14,0
Kleberg,308,2
Knox,44,0
La Salle,351,1
Lamar,537,15
Lamb,175,4
Lampasas,76,1
Lavaca,545,10
Lee,143,10
Leon,128,1
Liberty,797,21
Limestone,143,2
Lipscomb,15,0
Live Oak,115,1
Llano,81,0
Loving,0,0
Lubbock,5100,65
Lynn,59,3
Madison,609,0
Marion,117,6
Martin,42,2
Mason,38,0
Matagorda,588,19
Maverick,1390,23
McCulloch,34,0
McLennan,3986,27
McMullen,7,0
Medina,546,16
Menard,16,0
Midland,1364,23
Milam,273,4
Mills,14,0
Mitchell,41,0
Montague,45,1
Montgomery,5597,58
Moore,978,13
Morris,79,1
Motley,4,0
Nacogdoches,882,34
Navarro,672,9
Newton,78,2
Nolan,122,3
Nueces,8178,66
Ochiltree,75,3
Oldham,12,1
Orange,827,15
Palo Pinto,142,3
Panola,258,18
Parker,824,8
Parmer,289,7
Pecos,194,1
Polk,601,5
Potter,3353,41
Presidio,35,0
Rains,37,2
Randall,1442,18
Reagan,51,3
Real,71,0
Red River,131,11
Reeves,106,1
Refugio,156,0
Roberts,6,0
Robertson,194,1
Rockwall,635,12
Runnels,78,0
Rusk,300,8
Sabine,37,5
San Augustine,147,9
San Jacinto,136,5
San Patricio,666,14
San Saba,19,0
Schleicher,33,1
Scurry,387,1
Shackelford,16,0
Shelby,351,17
Sherman,35,0
Smith,2106,14
Somervell,46,0
Starr,1655,28
Stephens,23,2
Sterling,0,0
Stonewall,4,0
Sutton,54,1
Swisher,72,2
Tarrant,25499,338
Taylor,1012,16
Terrell,2,0
Terry,86,2
Throckmorton,2,0
Titus,1080,10
Tom Green,1463,10
Travis,19480,204
Trinity,117,2
Tyler,102,0
Upshur,164,2
Upton,13,1
Uvalde,427,3
Val Verde,657,13
Van Zandt,297,1
Victoria,2870,23
Walker,2738,41
Waller,377,4
Ward,74,1
Washington,441,35
Webb,5081,65
Wharton,517,17
Wheeler,31,0
Wichita,808,9
Wilbarger,35,1
Willacy,568,16
Williamson,5304,74
Wilson,403,14
Winkler,65,1
Wise,272,4
Wood,241,5
Yoakum,63,1
Young,101,3
Zapata,123,1
Zavala,143,3
Unknown,0,2
Total,385924,5713
