no,county,positive,fatalities
1,Anderson,18,0
2,Andrews,19,0
3,Angelina,36,0
4,Aransas,2,0
5,Armstrong,2,0
6,Atascosa,14,1
7,Austin,12,0
8,Bandera,6,0
9,Bastrop,58,2
10,Bee,5,0
11,Bell,165,3
12,Bexar,1231,43
13,Blanco,6,0
14,Bosque,4,0
15,Bowie,68,1
16,Brazoria,445,3
17,Brazos,181,16
18,Brooks,1,0
19,Brown,17,1
20,Burleson,11,0
21,Burnet,14,0
22,Caldwell,11,0
23,Calhoun,26,2
24,Callahan,1,0
25,Cameron,366,14
26,Camp,6,0
27,Carson,1,0
28,Cass,13,0
29,Castro,13,1
30,Chambers,41,0
31,Cherokee,12,1
32,Childress,1,0
33,Clay,3,0
34,Cochran,1,0
35,Collin,654,16
36,Colorado,10,0
37,Comal,48,6
38,Comanche,3,0
39,Concho,1,0
40,Cooke,4,0
41,Coryell,105,1
42,Crane,2,0
43,Crosby,2,1
44,Dallam,8,1
45,Dallas,2909,81
46,Dawson,21,1
47,Deaf Smith,21,0
48,Delta,1,0
49,Denton,702,20
50,DeWitt,15,1
51,Dickens,1,0
52,Dimmit,1,0
53,Donley,24,0
54,Duval,2,0
55,Eastland,3,0
56,Ector,67,4
57,El Paso,780,12
58,Ellis,127,5
59,Erath,12,1
60,Falls,2,0
61,Fannin,15,0
62,Fayette,14,1
63,Floyd,3,0
64,Fort Bend,919,21
65,Franklin,1,0
66,Freestone,3,0
67,Frio,3,0
68,Gaines,2,0
69,Galveston,539,22
70,Gillespie,1,0
71,Goliad,7,0
72,Gonzales,12,1
73,Gray,37,0
74,Grayson,22,0
75,Gregg,62,0
76,Grimes,13,1
77,Guadalupe,68,0
78,Hale,19,4
79,Hamilton,5,0
80,Hansford,4,0
81,Hardin,92,3
82,Harris,5628,89
83,Harrison,71,1
84,Hartley,4,0
85,Hays,148,1
86,Hemphill,1,0
87,Henderson,24,0
88,Hidalgo,303,4
89,Hill,15,1
90,Hockley,20,1
91,Hood,16,2
92,Hopkins,4,0
93,Houston,4,0
94,Howard,4,1
95,Hunt,39,3
96,Hutchinson,11,0
97,Jack,4,0
98,Jackson,6,0
99,Jasper,12,0
100,Jefferson,266,18
101,Jim Hogg,1,0
102,Jim Wells,3,0
103,Johnson,57,1
104,Jones,13,0
105,Karnes,3,0
106,Kaufman,71,0
107,Kendall,16,0
108,Kerr,6,0
109,Kleberg,8,1
110,Knox,1,0
111,La Salle,1,0
112,Lamar,8,0
113,Lamb,2,0
114,Lampasas,2,0
115,Lavaca,5,1
116,Lee,2,0
117,Leon,5,0
118,Liberty,38,0
119,Limestone,11,1
120,Live Oak,5,0
121,Llano,3,0
122,Lubbock,497,40
123,Lynn,5,1
124,Madison,2,0
125,Marion,7,0
126,Martin,2,0
127,Mason,1,0
128,Matagorda,58,3
129,Maverick,16,0
130,McCulloch,3,0
131,McLennan,81,4
132,Medina,19,2
133,Midland,71,5
134,Milam,13,1
135,Mitchell,1,0
136,Montague,6,1
137,Montgomery,506,9
138,Moore,252,3
139,Morris,5,0
140,Motley,1,0
141,Nacogdoches,125,6
142,Navarro,28,2
143,Newton,2,0
144,Nolan,1,0
145,Nueces,94,2
146,Ochiltree,5,1
147,Oldham,3,1
148,Orange,64,0
149,Palo Pinto,7,1
150,Panola,76,1
151,Parker,24,0
152,Parmer,4,0
153,Pecos,6,0
154,Polk,18,0
155,Potter,326,6
156,Rains,2,0
157,Randall,164,3
158,Red River,1,0
159,Roberts,2,0
160,Robertson,2,0
161,Rockwall,51,0
162,Rusk,32,1
163,Sabine,1,0
164,San Augustine,16,1
165,San Jacinto,9,0
166,San Patricio,12,0
167,Scurry,2,0
168,Shelby,97,0
169,Sherman,12,0
170,Smith,132,3
171,Starr,7,0
172,Stephens,1,0
173,Swisher,9,0
174,Tarrant,1836,52
175,Taylor,216,3
176,Terry,10,0
177,Titus,15,0
178,Tom Green,43,1
179,Travis,1396,36
180,Trinity,8,0
181,Tyler,6,0
182,Upshur,13,0
183,Uvalde,6,0
184,Val Verde,12,0
185,Van Zandt,13,1
186,Victoria,117,2
187,Walker,164,2
188,Waller,29,0
189,Washington,113,11
190,Webb,340,13
191,Wharton,37,0
192,Wheeler,5,0
193,Wichita,62,2
194,Wilbarger,1,0
195,Willacy,13,1
196,Williamson,211,6
197,Wilson,29,2
198,Winkler,3,0
199,Wise,15,2
200,Wood,7,0
201,Yoakum,1,0
202,Young,4,1
203,Zapata,7,0
204,Zavala,1,0
