county,cases,fatalities
Anderson,2792,31
Andrews,412,8
Angelina,2113,79
Aransas,319,18
Archer,69,1
Armstrong,12,1
Atascosa,1149,30
Austin,491,9
Bailey,206,5
Bandera,153,7
Bastrop,1789,28
Baylor,14,0
Bee,1834,30
Bell,5306,79
Bexar,43667,1248
Blanco,141,5
Borden,0,0
Bosque,294,6
Bowie,1255,50
Brazoria,11047,158
Brazos,6081,62
Brewster,214,2
Briscoe,12,1
Brooks,298,22
Brown,543,21
Burleson,327,6
Burnet,701,12
Caldwell,1488,35
Calhoun,812,7
Callahan,84,3
Cameron,22405,872
Camp,349,10
Carson,18,0
Cass,322,14
Castro,249,5
Chambers,1261,8
Cherokee,1522,28
Childress,66,0
Clay,76,1
Cochran,48,1
Coke,51,3
Coleman,67,3
Collin,13011,137
Collingsworth,18,0
Colorado,480,4
Comal,2606,102
Comanche,280,3
Concho,89,2
Cooke,395,5
Coryell,1795,12
Cottle,25,2
Crane,71,2
Crockett,164,6
Crosby,86,3
Culberson,51,2
Dallam,232,8
Dallas,77889,1085
Dawson,353,9
DeWitt,975,33
Deaf Smith,855,20
Delta,24,0
Denton,11501,149
Dickens,48,2
Dimmit,248,7
Donley,59,1
Duval,418,14
Eastland,158,3
Ector,3044,79
Edwards,67,1
El Paso,22652,505
Ellis,4192,66
Erath,804,12
Falls,223,5
Fannin,656,14
Fayette,462,18
Fisher,64,2
Floyd,106,9
Foard,9,0
Fort Bend,15789,278
Franklin,130,6
Freestone,403,2
Frio,970,8
Gaines,313,8
Galveston,11450,153
Garza,103,4
Gillespie,309,10
Glasscock,7,0
Goliad,154,6
Gonzales,1056,16
Gray,283,5
Grayson,1791,36
Gregg,2131,59
Grimes,1067,31
Guadalupe,3545,76
Hale,1807,53
Hall,24,1
Hamilton,115,4
Hansford,111,4
Hardeman,24,0
Hardin,1317,28
Harris,123817,2505
Harrison,868,31
Hartley,118,0
Haskell,62,2
Hays,5736,60
Hemphill,73,0
Henderson,923,23
Hidalgo,30577,1447
Hill,605,13
Hockley,326,8
Hood,882,26
Hopkins,325,8
Houston,364,10
Howard,620,12
Hudspeth,45,3
Hunt,1557,35
Hutchinson,192,3
Irion,10,0
Jack,131,2
Jackson,604,15
Jasper,459,25
Jeff Davis,14,0
Jefferson,7182,128
Jim Hogg,102,3
Jim Wells,1433,32
Johnson,2795,49
Jones,584,0
Karnes,935,16
Kaufman,3018,47
Kendall,330,7
Kenedy,7,1
Kent,8,0
Kerr,586,10
Kimble,16,1
King,0,0
Kinney,44,1
Kleberg,992,41
Knox,68,8
La Salle,359,11
Lamar,1046,31
Lamb,324,21
Lampasas,231,8
Lavaca,964,34
Lee,217,14
Leon,230,6
Liberty,2242,48
Limestone,556,10
Lipscomb,32,0
Live Oak,368,8
Llano,118,2
Loving,0,0
Lubbock,10455,116
Lynn,93,5
Madison,718,6
Marion,150,13
Martin,77,6
Mason,76,2
Matagorda,1039,42
Maverick,3535,112
McCulloch,139,3
McLennan,7520,97
McMullen,21,0
Medina,1179,44
Menard,26,0
Midland,3551,61
Milam,483,5
Mills,52,0
Mitchell,84,1
Montague,164,3
Montgomery,10571,157
Moore,1151,20
Morris,182,3
Motley,7,0
Nacogdoches,1516,60
Navarro,1224,26
Newton,172,9
Nolan,208,5
Nueces,15582,352
Ochiltree,127,4
Oldham,15,1
Orange,1905,41
Palo Pinto,502,15
Panola,369,25
Parker,1822,30
Parmer,415,7
Pecos,357,5
Polk,828,22
Potter,4517,54
Presidio,96,5
Rains,65,3
Randall,2612,37
Reagan,87,6
Real,117,7
Red River,159,14
Reeves,188,6
Refugio,303,13
Roberts,9,0
Robertson,292,4
Rockwall,1543,25
Runnels,244,5
Rusk,883,7
Sabine,77,8
San Augustine,199,15
San Jacinto,225,9
San Patricio,1415,72
San Saba,52,0
Schleicher,52,2
Scurry,610,2
Shackelford,24,0
Shelby,462,22
Sherman,60,0
Smith,3620,96
Somervell,137,5
Starr,3379,159
Stephens,129,4
Sterling,4,0
Stonewall,11,1
Sutton,81,3
Swisher,99,3
Tarrant,43692,693
Taylor,1442,49
Terrell,3,0
Terry,229,4
Throckmorton,7,2
Titus,1443,28
Tom Green,2204,62
Travis,28441,405
Trinity,191,7
Tyler,210,4
Upshur,374,9
Upton,23,2
Uvalde,755,30
Val Verde,2135,99
Van Zandt,568,18
Victoria,3996,95
Walker,3658,55
Waller,826,12
Ward,120,1
Washington,627,48
Webb,13171,261
Wharton,1340,50
Wheeler,46,0
Wichita,1613,20
Wilbarger,131,2
Willacy,1198,48
Williamson,8385,142
Wilson,879,26
Winkler,111,1
Wise,712,13
Wood,496,21
Yoakum,201,5
Young,266,6
Zapata,326,6
Zavala,341,16
Unknown,0,8
Total,698387,14917
Probable cases are not included in the total case numbers,NA,NA
