no,county,positive,fatalities
1,Anderson,23,0
2,Andrews,19,0
3,Angelina,46,0
4,Aransas,2,0
5,Armstrong,2,0
6,Atascosa,16,1
7,Austin,12,0
8,Bandera,6,0
9,Bastrop,59,2
10,Bee,5,0
11,Bell,173,3
12,Bexar,1275,44
13,Blanco,6,0
14,Bosque,4,0
15,Bowie,69,1
16,Brazoria,464,5
17,Brazos,182,16
18,Brooks,1,0
19,Brown,34,3
20,Burleson,12,0
21,Burnet,15,0
22,Caldwell,11,0
23,Calhoun,30,3
24,Callahan,2,0
25,Cameron,376,14
26,Camp,6,0
27,Carson,1,0
28,Cass,13,0
29,Castro,13,1
30,Chambers,41,0
31,Cherokee,14,1
32,Childress,1,0
33,Clay,3,0
34,Cochran,1,0
35,Collin,676,17
36,Colorado,10,0
37,Comal,49,6
38,Comanche,3,0
39,Concho,1,0
40,Cooke,4,0
41,Coryell,105,1
42,Cottle,1,0
43,Crane,2,0
44,Crosby,2,1
45,Dallam,8,1
46,Dallas,3105,84
47,Dawson,21,1
48,Deaf Smith,26,0
49,Delta,1,0
50,Denton,725,20
51,DeWitt,15,1
52,Dickens,1,0
53,Dimmit,1,0
54,Donley,24,0
55,Duval,2,0
56,Eastland,3,0
57,Ector,76,4
58,El Paso,829,12
59,Ellis,133,5
60,Erath,12,1
61,Falls,3,0
62,Fannin,17,0
63,Fayette,14,1
64,Floyd,3,0
65,Fort Bend,957,22
66,Franklin,1,0
67,Freestone,3,0
68,Frio,4,0
69,Gaines,2,0
70,Galveston,548,24
71,Gillespie,1,0
72,Goliad,7,0
73,Gonzales,14,2
74,Gray,38,0
75,Grayson,24,0
76,Gregg,69,0
77,Grimes,16,1
78,Guadalupe,69,0
79,Hale,24,4
80,Hamilton,5,0
81,Hansford,5,0
82,Hardin,96,3
83,Harris,5827,98
84,Harrison,84,1
85,Hartley,4,0
86,Hays,155,1
87,Hemphill,1,0
88,Henderson,24,0
89,Hidalgo,310,5
90,Hill,15,1
91,Hockley,20,1
92,Hood,17,2
93,Hopkins,4,0
94,Houston,5,0
95,Howard,4,1
96,Hunt,44,2
97,Hutchinson,13,0
98,Jack,4,0
99,Jackson,6,0
100,Jasper,12,0
101,Jefferson,288,19
102,Jim Hogg,3,0
103,Jim Wells,3,0
104,Johnson,62,3
105,Jones,13,0
106,Karnes,3,0
107,Kaufman,75,0
108,Kendall,16,0
109,Kerr,5,0
110,Kleberg,9,1
111,Knox,1,0
112,La Salle,1,0
113,Lamar,51,0
114,Lamb,3,0
115,Lampasas,3,0
116,Lavaca,5,1
117,Lee,2,0
118,Leon,5,0
119,Liberty,39,0
120,Limestone,13,1
121,Lipscomb,1,0
122,Live Oak,5,0
123,Llano,3,0
124,Lubbock,504,43
125,Lynn,5,1
126,Madison,2,0
127,Marion,9,0
128,Martin,2,0
129,Mason,5,0
130,Matagorda,60,3
131,Maverick,16,0
132,McCulloch,3,0
133,McLennan,87,4
134,Medina,19,2
135,Midland,74,5
136,Milam,14,1
137,Mitchell,1,0
138,Montague,6,1
139,Montgomery,530,10
140,Moore,294,3
141,Morris,5,0
142,Motley,1,0
143,Nacogdoches,141,6
144,Navarro,28,2
145,Newton,2,0
146,Nolan,1,0
147,Nueces,99,3
148,Ochiltree,24,1
149,Oldham,3,1
150,Orange,64,0
151,Palo Pinto,7,1
152,Panola,80,1
153,Parker,25,0
154,Parmer,6,0
155,Pecos,9,0
156,Polk,18,0
157,Potter,396,6
158,Rains,2,0
159,Randall,191,3
160,Red River,1,0
161,Roberts,2,0
162,Robertson,2,0
163,Rockwall,58,1
164,Runnels,1,0
165,Rusk,33,1
166,Sabine,1,0
167,San Augustine,16,1
168,San Jacinto,9,0
169,San Patricio,13,0
170,Scurry,2,0
171,Shelby,101,0
172,Sherman,14,0
173,Smith,139,3
174,Starr,8,0
175,Stephens,1,0
176,Swisher,9,0
177,Tarrant,2019,53
178,Taylor,255,3
179,Terry,10,0
180,Titus,15,0
181,Tom Green,44,1
182,Travis,1464,42
183,Trinity,8,0
184,Tyler,6,0
185,Upshur,13,0
186,Uvalde,6,0
187,Val Verde,12,0
188,Van Zandt,14,1
189,Victoria,127,3
190,Walker,200,2
191,Waller,31,0
192,Washington,136,11
193,Webb,346,15
194,Wharton,36,0
195,Wheeler,5,0
196,Wichita,63,2
197,Wilbarger,1,0
198,Willacy,13,1
199,Williamson,287,6
200,Wilson,29,2
201,Winkler,3,0
202,Wise,15,2
203,Wood,7,0
204,Yoakum,1,0
205,Young,4,1
206,Zapata,7,0
207,Zavala,1,0
