county,cases,fatalities
Anderson,2556,18
Andrews,388,8
Angelina,2013,72
Aransas,298,18
Archer,60,1
Armstrong,11,0
Atascosa,576,29
Austin,442,6
Bailey,203,4
Bandera,109,6
Bastrop,1638,27
Baylor,14,0
Bee,1796,24
Bell,4987,69
Bexar,38849,1166
Blanco,132,5
Borden,0,0
Bosque,241,5
Bowie,1121,44
Brazoria,9882,146
Brazos,5271,58
Brewster,203,2
Briscoe,12,1
Brooks,272,20
Brown,500,20
Burleson,301,6
Burnet,663,12
Caldwell,1358,34
Calhoun,614,7
Callahan,73,3
Cameron,21563,815
Camp,319,8
Carson,17,0
Cass,267,12
Castro,236,4
Chambers,1166,5
Cherokee,1451,21
Childress,60,0
Clay,71,1
Cochran,42,1
Coke,49,3
Coleman,56,3
Collin,11534,118
Collingsworth,17,0
Colorado,451,4
Comal,2440,97
Comanche,221,3
Concho,58,1
Cooke,341,5
Coryell,1518,11
Cottle,18,2
Crane,71,2
Crockett,164,6
Crosby,81,1
Culberson,37,2
Dallam,211,8
Dallas,73700,1010
Dawson,245,8
DeWitt,870,25
Deaf Smith,816,20
Delta,19,0
Denton,10588,136
Dickens,45,1
Dimmit,186,7
Donley,55,1
Duval,359,10
Eastland,126,3
Ector,2895,70
Edwards,34,1
El Paso,21093,464
Ellis,3888,60
Erath,722,10
Falls,174,3
Fannin,615,12
Fayette,379,18
Fisher,60,1
Floyd,99,9
Foard,3,0
Fort Bend,15144,248
Franklin,117,6
Freestone,387,1
Frio,644,7
Gaines,268,8
Galveston,10808,144
Garza,102,4
Gillespie,205,9
Glasscock,6,0
Goliad,121,6
Gonzales,819,14
Gray,250,5
Grayson,1577,30
Gregg,1960,51
Grimes,1000,31
Guadalupe,1903,74
Hale,1675,49
Hall,16,1
Hamilton,105,4
Hansford,105,3
Hardeman,22,0
Hardin,1205,22
Harris,111525,2335
Harrison,816,29
Hartley,105,0
Haskell,56,2
Hays,5471,58
Hemphill,64,0
Henderson,850,19
Hidalgo,28591,1254
Hill,393,11
Hockley,286,6
Hood,802,24
Hopkins,256,8
Houston,344,9
Howard,345,9
Hudspeth,41,2
Hunt,1469,32
Hutchinson,153,3
Irion,10,0
Jack,128,1
Jackson,505,14
Jasper,411,20
Jeff Davis,14,0
Jefferson,6772,112
Jim Hogg,79,2
Jim Wells,1328,28
Johnson,2587,46
Jones,588,0
Karnes,750,13
Kaufman,2845,42
Kendall,197,5
Kenedy,7,1
Kent,7,0
Kerr,439,9
Kimble,16,1
King,0,0
Kinney,23,1
Kleberg,911,31
Knox,67,8
La Salle,366,8
Lamar,924,29
Lamb,299,20
Lampasas,159,7
Lavaca,688,32
Lee,202,14
Leon,205,5
Liberty,1893,46
Limestone,479,8
Lipscomb,26,0
Live Oak,353,8
Llano,104,1
Loving,0,0
Lubbock,8912,103
Lynn,87,5
Madison,696,5
Marion,147,12
Martin,74,5
Mason,75,1
Matagorda,951,39
Maverick,3335,92
McCulloch,121,1
McLennan,6726,88
McMullen,18,0
Medina,1134,38
Menard,21,0
Midland,3362,55
Milam,447,5
Mills,35,0
Mitchell,75,1
Montague,148,3
Montgomery,9164,133
Moore,1126,18
Morris,161,3
Motley,7,0
Nacogdoches,1393,53
Navarro,1136,21
Newton,164,8
Nolan,168,4
Nueces,15241,300
Ochiltree,111,4
Oldham,15,1
Orange,1767,37
Palo Pinto,447,12
Panola,334,24
Parker,1689,27
Parmer,392,7
Pecos,330,4
Polk,778,19
Potter,4181,49
Presidio,91,5
Rains,60,3
Randall,2323,31
Reagan,86,6
Real,105,5
Red River,151,14
Reeves,180,5
Refugio,301,10
Roberts,8,0
Robertson,254,4
Rockwall,1411,22
Runnels,210,3
Rusk,740,5
Sabine,75,8
San Augustine,192,12
San Jacinto,205,8
San Patricio,1351,61
San Saba,41,0
Schleicher,51,2
Scurry,563,2
Shackelford,23,0
Shelby,445,21
Sherman,55,0
Smith,3407,78
Somervell,125,4
Starr,3172,141
Stephens,126,4
Sterling,4,0
Stonewall,9,1
Sutton,77,2
Swisher,95,3
Tarrant,40222,638
Taylor,1370,37
Terrell,3,0
Terry,210,4
Throckmorton,5,2
Titus,1387,25
Tom Green,2088,58
Travis,26969,382
Trinity,182,6
Tyler,192,4
Upshur,332,8
Upton,21,2
Uvalde,725,28
Val Verde,1957,80
Van Zandt,528,18
Victoria,3836,84
Walker,3845,50
Waller,727,9
Ward,112,1
Washington,579,45
Webb,12094,204
Wharton,1233,43
Wheeler,42,0
Wichita,1392,16
Wilbarger,120,2
Willacy,1167,44
Williamson,8024,131
Wilson,545,26
Winkler,98,1
Wise,670,12
Wood,420,17
Yoakum,173,4
Young,236,6
Zapata,295,4
Zavala,266,13
Unknown,0,8
Total,640370,13492
Probable cases are not included in the total case numbers,NA,NA
