state,fips,county,date,active
Texas,48,Andrews,2020-05-03,6
Texas,48,Andrews,2020-05-04,6
Texas,48,Andrews,2020-05-05,6
Texas,48,Andrews,2020-05-06,6
Texas,48,Andrews,2020-05-07,5
Texas,48,Andrews,2020-05-08,5
Texas,48,Andrews,2020-05-09,5
Texas,48,Andrews,2020-05-10,4
Texas,48,Andrews,2020-05-11,4
Texas,48,Andrews,2020-05-12,5
Texas,48,Andrews,2020-05-13,5
Texas,48,Andrews,2020-05-14,5
Texas,48,Andrews,2020-05-15,4
Texas,48,Andrews,2020-05-16,3
Texas,48,Andrews,2020-05-17,3
Texas,48,Andrews,2020-05-18,1
Texas,48,Andrews,2020-05-19,1
Texas,48,Andrews,2020-05-20,1
Texas,48,Andrews,2020-05-21,1
Texas,48,Andrews,2020-05-22,2
Texas,48,Andrews,2020-05-23,2
Texas,48,Andrews,2020-05-24,3
Texas,48,Andrews,2020-05-25,6
Texas,48,Andrews,2020-05-26,6
Texas,48,Andrews,2020-05-27,6
Texas,48,Andrews,2020-05-28,6
Texas,48,Andrews,2020-05-29,6
Texas,48,Andrews,2020-05-30,6
Texas,48,Andrews,2020-05-31,6
Texas,48,Andrews,2020-06-01,6
Texas,48,Andrews,2020-06-02,5
Texas,48,Andrews,2020-06-03,5
Texas,48,Andrews,2020-06-04,5
Texas,48,Andrews,2020-06-05,0
Texas,48,Andrews,2020-06-06,0
Texas,48,Andrews,2020-06-07,0
Texas,48,Andrews,2020-06-08,0
Texas,48,Andrews,2020-06-09,0
Texas,48,Andrews,2020-06-10,0
Texas,48,Andrews,2020-06-11,0
Texas,48,Andrews,2020-06-12,0
Texas,48,Andrews,2020-06-13,1
Texas,48,Andrews,2020-06-14,1
Texas,48,Andrews,2020-06-15,1
Texas,48,Andrews,2020-06-16,3
Texas,48,Andrews,2020-06-17,3
Texas,48,Andrews,2020-06-18,3
Texas,48,Andrews,2020-06-19,5
Texas,48,Andrews,2020-06-20,12
Texas,48,Andrews,2020-06-21,14
Texas,48,Andrews,2020-06-22,14
Texas,48,Andrews,2020-06-23,14
Texas,48,Andrews,2020-06-24,16
Texas,48,Andrews,2020-06-25,21
Texas,48,Andrews,2020-06-26,26
Texas,48,Andrews,2020-06-27,33
Texas,48,Andrews,2020-06-28,43
Texas,48,Andrews,2020-06-29,43
Texas,48,Andrews,2020-06-30,45
Texas,48,Andrews,2020-07-01,51
Texas,48,Andrews,2020-07-02,54
Texas,48,Andrews,2020-07-03,54
Texas,48,Andrews,2020-07-04,61
Texas,48,Andrews,2020-07-05,66
Texas,48,Andrews,2020-07-06,66
Texas,48,Andrews,2020-07-07,60
Texas,48,Andrews,2020-07-08,65
Texas,48,Andrews,2020-07-09,77
Texas,48,Andrews,2020-07-10,70
Texas,48,Andrews,2020-07-11,89
Texas,48,Andrews,2020-07-12,100
Texas,48,Andrews,2020-07-13,100
Texas,48,Andrews,2020-07-14,97
Texas,48,Andrews,2020-07-15,95
Texas,48,Andrews,2020-07-16,97
Texas,48,Andrews,2020-07-17,102
Texas,48,Andrews,2020-07-18,106
Texas,48,Andrews,2020-07-19,108
Texas,48,Andrews,2020-07-20,104
Texas,48,Andrews,2020-07-21,112
Texas,48,Andrews,2020-07-22,126
Texas,48,Andrews,2020-07-23,100
Texas,48,Andrews,2020-07-24,98
Texas,48,Andrews,2020-07-25,103
Texas,48,Andrews,2020-07-26,102
Texas,48,Andrews,2020-07-27,89
Texas,48,Angelina,2020-04-07,14
Texas,48,Angelina,2020-04-08,14
Texas,48,Angelina,2020-04-09,14
Texas,48,Angelina,2020-04-10,15
Texas,48,Angelina,2020-04-11,15
Texas,48,Angelina,2020-04-12,14
Texas,48,Angelina,2020-04-13,14
Texas,48,Angelina,2020-04-14,14
Texas,48,Angelina,2020-04-15,13
Texas,48,Angelina,2020-04-16,16
Texas,48,Angelina,2020-04-17,17
Texas,48,Angelina,2020-04-18,15
Texas,48,Angelina,2020-04-19,15
Texas,48,Angelina,2020-04-20,12
Texas,48,Angelina,2020-04-21,16
Texas,48,Angelina,2020-04-22,19
Texas,48,Angelina,2020-04-23,19
Texas,48,Angelina,2020-04-24,20
Texas,48,Angelina,2020-04-25,23
Texas,48,Angelina,2020-04-26,23
Texas,48,Angelina,2020-04-27,23
Texas,48,Angelina,2020-04-28,32
Texas,48,Angelina,2020-04-29,35
Texas,48,Angelina,2020-04-30,36
Texas,48,Angelina,2020-05-01,35
Texas,48,Angelina,2020-05-02,36
Texas,48,Angelina,2020-05-03,36
Texas,48,Angelina,2020-05-04,36
Texas,48,Angelina,2020-05-05,60
Texas,48,Angelina,2020-05-06,67
Texas,48,Angelina,2020-05-07,74
Texas,48,Angelina,2020-05-08,81
Texas,48,Angelina,2020-05-09,74
