county,cases,fatalities
Anderson,85,0
Andrews,27,0
Angelina,232,5
Aransas,5,0
Archer,1,0
Armstrong,3,0
Atascosa,38,2
Austin,27,0
Bailey,19,0
Bandera,6,0
Bastrop,240,3
Baylor,0,0
Bee,11,0
Bell,423,5
Bexar,2953,78
Blanco,11,1
Borden,0,0
Bosque,7,0
Bowie,296,6
Brazoria,957,12
Brazos,517,21
Brewster,1,0
Briscoe,1,0
Brooks,1,0
Brown,59,10
Burleson,28,0
Burnet,49,0
Caldwell,73,0
Calhoun,37,3
Callahan,10,1
Cameron,820,39
Camp,85,0
Carson,6,0
Cass,30,1
Castro,34,1
Chambers,70,0
Cherokee,49,2
Childress,2,0
Clay,5,0
Cochran,1,0
Coke,1,0
Coleman,4,0
Collin,1388,34
Collingsworth,5,0
Colorado,24,0
Comal,111,7
Comanche,12,1
Concho,1,0
Cooke,19,0
Coryell,289,2
Cottle,4,1
Crane,25,5
Crockett,0,0
Crosby,3,1
Culberson,0,0
Dallam,27,0
Dallas,10958,249
Dawson,45,1
DeWitt,17,1
Deaf Smith,166,13
Delta,2,0
Denton,1435,32
Dickens,1,0
Dimmit,1,0
Donley,27,0
Duval,5,0
Eastland,7,0
Ector,175,5
Edwards,0,0
El Paso,3069,89
Ellis,338,15
Erath,17,1
Falls,10,0
Fannin,41,2
Fayette,38,2
Fisher,2,1
Floyd,15,0
Foard,0,0
Fort Bend,1951,47
Franklin,18,0
Freestone,10,0
Frio,37,0
Gaines,7,0
Galveston,876,38
Garza,6,0
Gillespie,5,0
Glasscock,1,0
Goliad,7,0
Gonzales,144,3
Gray,101,2
Grayson,355,2
Gregg,249,9
Grimes,226,1
Guadalupe,142,0
Hale,60,4
Hall,2,0
Hamilton,9,1
Hansford,20,2
Hardeman,2,0
Hardin,142,5
Harris,13268,241
Harrison,255,27
Hartley,12,2
Haskell,3,0
Hays,385,5
Hemphill,1,0
Henderson,65,3
Hidalgo,634,11
Hill,25,1
Hockley,27,1
Hood,27,3
Hopkins,27,0
Houston,145,0
Howard,9,1
Hudspeth,3,0
Hunt,96,4
Hutchinson,44,0
Irion,1,0
Jack,4,0
Jackson,19,1
Jasper,29,1
Jeff Davis,0,0
Jefferson,585,29
Jim Hogg,4,0
Jim Wells,12,0
Johnson,178,4
Jones,636,0
Karnes,4,0
Kaufman,240,2
Kendall,31,0
Kenedy,0,0
Kent,0,0
Kerr,20,0
Kimble,1,0
King,0,0
Kinney,1,0
Kleberg,17,1
Knox,1,0
La Salle,4,0
Lamar,152,11
Lamb,16,0
Lampasas,9,0
Lavaca,17,1
Lee,25,1
Leon,10,0
Liberty,97,3
Limestone,30,1
Lipscomb,4,0
Live Oak,9,0
Llano,3,0
Loving,0,0
Lubbock,707,50
Lynn,8,1
Madison,9,0
Marion,17,1
Martin,3,1
Mason,32,0
Matagorda,69,5
Maverick,129,1
McCulloch,3,0
McLennan,123,4
McMullen,0,0
Medina,76,2
Menard,0,0
Midland,141,13
Milam,29,1
Mills,1,0
Mitchell,1,0
Montague,9,1
Montgomery,1033,26
Moore,844,13
Morris,27,0
Motley,1,0
Nacogdoches,298,21
Navarro,61,2
Newton,5,0
Nolan,8,0
Nueces,285,3
Ochiltree,51,2
Oldham,4,1
Orange,101,2
Palo Pinto,13,2
Panola,213,23
Parker,81,1
Parmer,71,0
Pecos,103,0
Polk,60,0
Potter,2488,31
Presidio,1,0
Rains,4,0
Randall,715,6
Reagan,2,0
Real,0,0
Red River,76,8
Reeves,7,0
Refugio,3,0
Roberts,2,0
Robertson,11,0
Rockwall,176,14
Runnels,2,0
Rusk,59,2
Sabine,15,1
San Augustine,44,4
San Jacinto,16,0
San Patricio,36,0
San Saba,1,0
Schleicher,0,0
Scurry,33,0
Shackelford,1,0
Shelby,213,8
Sherman,27,0
Smith,215,4
Somervell,0,0
Starr,42,0
Stephens,4,0
Sterling,0,0
Stonewall,0,0
Sutton,0,0
Swisher,18,0
Tarrant,5761,168
Taylor,242,5
Terrell,0,0
Terry,13,0
Throckmorton,0,0
Titus,500,2
Tom Green,69,1
Travis,3501,95
Trinity,20,0
Tyler,14,0
Upshur,28,0
Upton,0,0
Uvalde,18,0
Val Verde,21,0
Van Zandt,35,1
Victoria,167,7
Walker,1801,27
Waller,64,0
Ward,1,0
Washington,206,25
Webb,565,19
Wharton,70,1
Wheeler,15,0
Wichita,85,2
Wilbarger,7,0
Willacy,21,2
Williamson,649,25
Wilson,41,5
Winkler,3,0
Wise,50,3
Wood,40,4
Yoakum,3,0
Young,4,1
Zapata,11,0
Zavala,12,0
Total,69920,1767
