county,cases,fatalities
Anderson,2425,18
Andrews,356,8
Angelina,1964,61
Aransas,197,16
Archer,39,0
Armstrong,10,0
Atascosa,544,23
Austin,391,5
Bailey,196,4
Bandera,106,3
Bastrop,1531,25
Baylor,12,0
Bee,1469,18
Bell,4534,55
Bexar,36903,998
Blanco,127,5
Borden,0,0
Bosque,197,5
Bowie,859,41
Brazoria,8662,124
Brazos,4311,53
Brewster,189,2
Briscoe,12,1
Brooks,190,14
Brown,435,19
Burleson,275,6
Burnet,604,12
Caldwell,1210,31
Calhoun,579,7
Callahan,57,3
Cameron,19225,653
Camp,274,7
Carson,17,0
Cass,225,9
Castro,214,4
Chambers,1080,5
Cherokee,1334,14
Childress,52,0
Clay,59,1
Cochran,35,1
Coke,45,2
Coleman,44,2
Collin,10451,104
Collingsworth,15,0
Colorado,416,3
Comal,2275,93
Comanche,184,3
Concho,35,0
Cooke,288,4
Coryell,779,8
Cottle,18,2
Crane,70,2
Crockett,160,4
Crosby,75,1
Culberson,22,2
Dallam,202,6
Dallas,68572,881
Dawson,187,8
DeWitt,782,24
Deaf Smith,770,19
Delta,18,0
Denton,9095,116
Dickens,10,1
Dimmit,171,5
Donley,52,1
Duval,222,8
Eastland,103,1
Ector,2693,59
Edwards,34,0
El Paso,19396,392
Ellis,3486,54
Erath,618,7
Falls,151,3
Fannin,388,10
Fayette,353,15
Fisher,48,1
Floyd,98,7
Foard,3,0
Fort Bend,14034,216
Franklin,101,4
Freestone,211,0
Frio,613,7
Gaines,228,5
Galveston,10350,132
Garza,102,3
Gillespie,193,6
Glasscock,6,0
Goliad,121,6
Gonzales,783,12
Gray,239,3
Grayson,1363,18
Gregg,1769,43
Grimes,979,29
Guadalupe,1858,66
Hale,1538,40
Hall,16,1
Hamilton,96,3
Hansford,99,3
Hardeman,22,0
Hardin,1217,18
Harris,97745,2028
Harrison,774,26
Hartley,99,0
Haskell,50,1
Hays,5250,52
Hemphill,47,0
Henderson,755,15
Hidalgo,23993,983
Hill,345,8
Hockley,242,5
Hood,703,21
Hopkins,234,4
Houston,329,8
Howard,253,8
Hudspeth,36,2
Hunt,1363,25
Hutchinson,139,3
Irion,9,0
Jack,116,0
Jackson,477,13
Jasper,393,17
Jeff Davis,8,0
Jefferson,6499,103
Jim Hogg,73,2
Jim Wells,930,23
Johnson,2393,40
Jones,601,0
Karnes,720,10
Kaufman,2656,32
Kendall,193,4
Kenedy,7,1
Kent,6,0
Kerr,426,9
Kimble,16,1
King,0,0
Kinney,22,1
Kleberg,551,21
Knox,64,8
La Salle,367,2
Lamar,783,21
Lamb,263,19
Lampasas,141,5
Lavaca,661,28
Lee,188,13
Leon,167,4
Liberty,1339,39
Limestone,381,5
Lipscomb,23,0
Live Oak,282,5
Llano,99,1
Loving,0,0
Lubbock,6852,83
Lynn,76,4
Madison,689,3
Marion,139,10
Martin,70,5
Mason,64,0
Matagorda,875,38
Maverick,3117,67
McCulloch,74,1
McLennan,5713,75
McMullen,11,0
Medina,1069,34
Menard,20,0
Midland,3082,43
Milam,400,4
Mills,31,0
Mitchell,72,1
Montague,109,3
Montgomery,7915,113
Moore,1103,17
Morris,140,3
Motley,6,0
Nacogdoches,1270,45
Navarro,1009,13
Newton,162,6
Nolan,145,4
Nueces,14446,240
Ochiltree,102,3
Oldham,14,1
Orange,1736,33
Palo Pinto,405,10
Panola,302,20
Parker,1580,23
Parmer,372,7
Pecos,272,2
Polk,773,15
Potter,3928,44
Presidio,49,4
Rains,55,1
Randall,2042,25
Reagan,77,5
Real,99,5
Red River,143,13
Reeves,161,5
Refugio,247,9
Roberts,6,0
Robertson,244,3
Rockwall,1266,21
Runnels,177,3
Rusk,444,3
Sabine,72,6
San Augustine,185,12
San Jacinto,193,8
San Patricio,1202,52
San Saba,33,0
Schleicher,36,1
Scurry,515,2
Shackelford,20,0
Shelby,426,18
Sherman,50,0
Smith,2978,51
Somervell,113,2
Starr,2569,117
Stephens,111,3
Sterling,1,0
Stonewall,7,1
Sutton,76,2
Swisher,88,3
Tarrant,37622,564
Taylor,1243,32
Terrell,3,0
Terry,188,3
Throckmorton,4,2
Titus,1293,19
Tom Green,1953,43
Travis,25640,331
Trinity,169,4
Tyler,175,3
Upshur,313,5
Upton,18,1
Uvalde,654,16
Val Verde,1775,59
Van Zandt,488,12
Victoria,3712,69
Walker,3320,46
Waller,625,5
Ward,102,1
Washington,559,43
Webb,10094,152
Wharton,1112,39
Wheeler,40,0
Wichita,1205,14
Wilbarger,95,2
Willacy,810,40
Williamson,7687,113
Wilson,524,24
Winkler,88,1
Wise,604,11
Wood,378,13
Yoakum,139,4
Young,209,6
Zapata,238,3
Zavala,253,8
Unknown,0,7
Total,577537,11370
Probable cases are not included in the total case numbers,NA,NA
