no,county,positive,fatalities
1,Anderson,32,0
2,Andrews,21,0
3,Angelina,55,0
4,Aransas,2,0
5,Armstrong,2,0
6,Atascosa,19,1
7,Austin,13,0
8,Bandera,6,0
9,Bastrop,89,2
10,Bee,6,0
11,Bell,194,3
12,Bexar,1613,48
13,Blanco,6,0
14,Bosque,4,0
15,Bowie,76,2
16,Brazoria,551,6
17,Brazos,208,16
18,Brewster,1,0
19,Briscoe,1,0
20,Brooks,1,0
21,Brown,36,5
22,Burleson,14,0
23,Burnet,23,0
24,Caldwell,21,0
25,Calhoun,33,3
26,Callahan,2,0
27,Cameron,432,18
28,Camp,7,0
29,Carson,3,0
30,Cass,15,0
31,Castro,18,1
32,Chambers,45,0
33,Cherokee,17,1
34,Childress,1,0
35,Clay,3,0
36,Cochran,1,0
37,Collin,789,22
38,Coleman,1,0
39,Colorado,10,0
40,Comal,58,6
41,Comanche,3,1
42,Concho,1,0
43,Cooke,9,0
44,Coryell,162,2
45,Cottle,2,0
46,Crane,2,0
47,Crosby,2,1
48,Dallam,13,1
49,Dallas,4133,111
50,Dawson,26,1
51,Deaf Smith,37,0
52,Delta,1,0
53,Denton,803,22
54,DeWitt,15,1
55,Dickens,1,0
56,Dimmit,1,0
57,Donley,25,0
58,Duval,3,0
59,Eastland,3,0
60,Ector,78,4
61,El Paso,998,22
62,Ellis,169,6
63,Erath,12,1
64,Falls,4,0
65,Fannin,20,0
66,Fayette,15,1
67,Floyd,3,0
68,Fort Bend,1183,28
69,Franklin,2,0
70,Freestone,7,0
71,Frio,10,0
72,Gaines,2,0
73,Galveston,636,28
74,Garza,3,0
75,Gillespie,4,0
76,Glasscock,1,0
77,Goliad,7,0
78,Gonzales,30,2
79,Gray,67,0
80,Grayson,49,0
81,Gregg,87,0
82,Grimes,22,1
83,Guadalupe,86,0
84,Hale,29,4
85,Hamilton,5,0
86,Hansford,7,1
87,Hardin,103,3
88,Harris,6838,133
89,Harrison,140,6
90,Hartley,5,0
91,Hays,168,1
92,Hemphill,1,0
93,Henderson,28,0
94,Hidalgo,341,6
95,Hill,17,1
96,Hockley,20,1
97,Hood,20,3
98,Hopkins,6,0
99,Houston,7,0
100,Howard,4,1
101,Hunt,49,3
102,Hutchinson,16,0
103,Jack,4,0
104,Jackson,14,0
105,Jasper,18,1
106,Jefferson,325,23
107,Jim Hogg,3,0
108,Jim Wells,5,0
109,Johnson,83,4
110,Jones,78,0
111,Karnes,3,0
112,Kaufman,90,1
113,Kendall,16,0
114,Kerr,5,0
115,Kleberg,10,1
116,Knox,1,0
117,La Salle,1,0
118,Lamar,67,0
119,Lamb,4,0
120,Lampasas,4,0
121,Lavaca,6,1
122,Lee,2,0
123,Leon,6,0
124,Liberty,45,1
125,Limestone,13,1
126,Lipscomb,2,0
127,Live Oak,5,0
128,Llano,3,0
129,Lubbock,553,44
130,Lynn,5,1
131,Madison,1,0
132,Marion,15,0
133,Martin,2,0
134,Mason,24,0
135,Matagorda,61,3
136,Maverick,24,0
137,McCulloch,3,0
138,McLennan,91,4
139,Medina,20,2
140,Midland,89,8
141,Milam,18,1
142,Mitchell,1,0
143,Montague,7,1
144,Montgomery,634,14
145,Moore,399,6
146,Morris,9,0
147,Motley,1,0
148,Nacogdoches,174,7
149,Navarro,31,2
150,Newton,2,0
151,Nolan,2,0
152,Nueces,107,3
153,Ochiltree,19,1
154,Oldham,3,1
155,Orange,71,1
156,Palo Pinto,8,1
157,Panola,135,3
158,Parker,39,0
159,Parmer,13,0
160,Pecos,10,0
161,Polk,20,0
162,Potter,818,9
163,Rains,2,0
164,Randall,279,3
165,Red River,1,0
166,Refugio,1,0
167,Roberts,2,0
168,Robertson,4,0
169,Rockwall,88,3
170,Runnels,2,0
171,Rusk,36,1
172,Sabine,1,0
173,San Augustine,19,1
174,San Jacinto,10,0
175,San Patricio,13,0
176,Scurry,2,0
177,Shelby,117,4
178,Sherman,18,0
179,Smith,146,3
180,Starr,9,0
181,Stephens,1,0
182,Swisher,9,0
183,Tarrant,2584,75
184,Taylor,349,5
185,Terry,11,0
186,Titus,20,0
187,Tom Green,55,1
188,Travis,1756,52
189,Trinity,8,0
190,Tyler,6,0
191,Upshur,15,0
192,Uvalde,6,0
193,Val Verde,13,0
194,Van Zandt,16,1
195,Victoria,139,5
196,Walker,298,2
197,Waller,33,0
198,Washington,145,18
199,Webb,391,16
200,Wharton,39,0
201,Wheeler,9,0
202,Wichita,65,2
203,Wilbarger,1,0
204,Willacy,13,1
205,Williamson,323,10
206,Wilson,33,3
207,Winkler,3,0
208,Wise,26,2
209,Wood,10,0
210,Yoakum,1,0
211,Young,4,1
212,Zapata,7,0
213,Zavala,1,0
