county,date,value
Briscoe,2020-06-06,NA
Briscoe,2020-05-30,2
Briscoe,2020-05-23,1
Briscoe,2020-05-16,1
Briscoe,2020-05-09,1
Brooks,2020-07-11,22
Brooks,2020-07-04,40
Brooks,2020-06-27,19
Brooks,2020-06-20,27
Brooks,2020-06-13,19
Brooks,2020-06-06,21
Brooks,2020-05-30,22
Brooks,2020-05-23,29
Brooks,2020-05-16,15
Brooks,2020-05-09,45
Brown,2020-07-11,70
Brown,2020-07-04,72
Brown,2020-06-27,58
Brown,2020-06-20,57
Brown,2020-06-13,69
Brown,2020-06-06,82
Brown,2020-05-30,97
Brown,2020-05-23,96
Brown,2020-05-16,105
Brown,2020-05-09,128
Burleson,2020-07-11,54
Burleson,2020-07-04,53
Burleson,2020-06-27,38
Burleson,2020-06-20,34
Burleson,2020-06-13,32
Burleson,2020-06-06,45
Burleson,2020-05-30,41
Burleson,2020-05-23,44
Burleson,2020-05-16,39
Burleson,2020-05-09,61
Burnet,2020-07-11,91
Burnet,2020-07-04,112
Burnet,2020-06-27,57
Burnet,2020-06-20,69
Burnet,2020-06-13,63
Burnet,2020-06-06,90
Burnet,2020-05-30,72
Burnet,2020-05-23,93
Burnet,2020-05-16,106
Burnet,2020-05-09,112
Caldwell,2020-07-11,103
Caldwell,2020-07-04,108
Caldwell,2020-06-27,90
Caldwell,2020-06-20,78
Caldwell,2020-06-13,76
Caldwell,2020-06-06,84
Caldwell,2020-05-30,103
Caldwell,2020-05-23,114
Caldwell,2020-05-16,100
Caldwell,2020-05-09,130
Calhoun,2020-07-11,56
Calhoun,2020-07-04,82
Calhoun,2020-06-27,64
Calhoun,2020-06-20,53
Calhoun,2020-06-13,45
Calhoun,2020-06-06,47
Calhoun,2020-05-30,59
Calhoun,2020-05-23,67
Calhoun,2020-05-16,52
Calhoun,2020-05-09,54
Callahan,2020-07-11,25
Callahan,2020-07-04,43
Callahan,2020-06-27,22
Callahan,2020-06-20,23
Callahan,2020-06-13,18
Callahan,2020-06-06,25
Callahan,2020-05-30,32
Callahan,2020-05-23,25
Callahan,2020-05-16,25
Callahan,2020-05-09,37
Cameron,2020-07-11,1657
Cameron,2020-07-04,1871
Cameron,2020-06-27,1296
Cameron,2020-06-20,1391
Cameron,2020-06-13,1057
Cameron,2020-06-06,1334
Cameron,2020-05-30,1562
Cameron,2020-05-23,1552
Cameron,2020-05-16,1452
Cameron,2020-05-09,1675
Camp,2020-07-11,30
Camp,2020-07-04,35
Camp,2020-06-27,35
Camp,2020-06-20,27
Camp,2020-06-13,27
Camp,2020-06-06,45
Camp,2020-05-30,56
Camp,2020-05-23,41
Camp,2020-05-16,39
Camp,2020-05-09,48
Carson,2020-07-11,10
Carson,2020-07-04,7
Carson,2020-06-27,2
Carson,2020-06-20,11
Carson,2020-06-13,6
Carson,2020-06-06,6
Carson,2020-05-30,7
Carson,2020-05-23,14
Carson,2020-05-16,14
Carson,2020-05-09,11
Cass,2020-07-11,84
Cass,2020-07-04,75
Cass,2020-06-27,69
Cass,2020-06-20,56
Cass,2020-06-13,75
Cass,2020-06-06,94
Cass,2020-05-30,95
Cass,2020-05-23,100
Cass,2020-05-16,74
Cass,2020-05-09,80
Castro,2020-07-11,6
Castro,2020-07-04,7
Castro,2020-06-27,4
Castro,2020-06-20,3
Castro,2020-06-13,2
Castro,2020-06-06,9
Castro,2020-05-30,5
Castro,2020-05-23,9
Castro,2020-05-16,10
Castro,2020-05-09,9
Chambers,2020-07-11,169
Chambers,2020-07-04,166
Chambers,2020-06-27,163
Chambers,2020-06-20,147
Chambers,2020-06-13,106
Chambers,2020-06-06,155
Chambers,2020-05-30,125
Chambers,2020-05-23,151
Chambers,2020-05-16,161
Chambers,2020-05-09,218
Cherokee,2020-07-11,152
Cherokee,2020-07-04,134
Cherokee,2020-06-27,104
Cherokee,2020-06-20,113
Cherokee,2020-06-13,126
Cherokee,2020-06-06,101
Cherokee,2020-05-30,138
Cherokee,2020-05-23,164
Cherokee,2020-05-16,141
Cherokee,2020-05-09,179
Childress,2020-07-11,9
Childress,2020-07-04,6
Childress,2020-06-27,3
Childress,2020-06-20,11
Childress,2020-06-13,6
Childress,2020-06-06,8
Childress,2020-05-30,7
Childress,2020-05-23,7
Childress,2020-05-16,17
Childress,2020-05-09,10
Clay,2020-07-11,22
Clay,2020-07-04,21
Clay,2020-06-27,15
Clay,2020-06-20,14
Clay,2020-06-13,19
Clay,2020-06-06,22
Clay,2020-05-30,18
Clay,2020-05-23,23
Clay,2020-05-16,22
Clay,2020-05-09,20
Cochran,2020-07-11,5
Cochran,2020-07-04,4
Cochran,2020-06-27,3
Cochran,2020-06-20,3
Cochran,2020-06-13,1
Cochran,2020-06-06,5
Cochran,2020-05-30,5
Cochran,2020-05-23,8
Cochran,2020-05-16,5
Cochran,2020-05-09,11
Coke,2020-07-11,6
Coke,2020-07-04,3
Coke,2020-06-27,3
Coke,2020-06-20,6
Coke,2020-06-13,2
Coke,2020-06-06,5
Coke,2020-05-30,6
Coke,2020-05-23,7
Coke,2020-05-16,2
Coke,2020-05-09,11
Coleman,2020-07-11,11
Coleman,2020-07-04,10
Coleman,2020-06-27,8
Coleman,2020-06-20,10
Coleman,2020-06-13,7
Coleman,2020-06-06,12
Coleman,2020-05-30,13
Coleman,2020-05-23,23
Coleman,2020-05-16,20
Coleman,2020-05-09,21
Collin,2020-07-11,2241
Collin,2020-07-04,2358
Collin,2020-06-27,1885
Collin,2020-06-20,2120
Collin,2020-06-13,2049
Collin,2020-06-06,2349
Collin,2020-05-30,2794
Collin,2020-05-23,3056
Collin,2020-05-16,3339
Collin,2020-05-09,4053
Collingsworth,2020-07-11,4
Collingsworth,2020-07-04,3
Collingsworth,2020-06-27,3
Collingsworth,2020-06-20,3
Collingsworth,2020-06-13,3
Collingsworth,2020-06-06,3
Collingsworth,2020-05-30,6
Collingsworth,2020-05-23,5
Collingsworth,2020-05-16,4
Collingsworth,2020-05-09,2
Colorado,2020-07-11,33
Colorado,2020-07-04,39
Colorado,2020-06-27,33
Colorado,2020-06-20,48
Colorado,2020-06-13,40
Colorado,2020-06-06,34
Colorado,2020-05-30,41
Colorado,2020-05-23,34
Colorado,2020-05-16,35
Colorado,2020-05-09,49
Comal,2020-07-11,358
Comal,2020-07-04,433
Comal,2020-06-27,265
Comal,2020-06-20,304
Comal,2020-06-13,281
Comal,2020-06-06,282
Comal,2020-05-30,389
Comal,2020-05-23,389
Comal,2020-05-16,435
Comal,2020-05-09,607
Comanche,2020-07-11,22
Comanche,2020-07-04,21
Comanche,2020-06-27,12
Comanche,2020-06-20,22
Comanche,2020-06-13,39
Comanche,2020-06-06,20
Comanche,2020-05-30,20
Comanche,2020-05-23,28
Comanche,2020-05-16,31
Comanche,2020-05-09,25
Concho,2020-07-11,5
Concho,2020-07-04,5
Concho,2020-06-27,5
Concho,2020-06-20,1
Concho,2020-06-13,3
Concho,2020-06-06,NA
Concho,2020-05-30,3
Concho,2020-05-23,2
Concho,2020-05-16,4
Concho,2020-05-09,5
Cooke,2020-07-11,141
Cooke,2020-07-04,143
Cooke,2020-06-27,77
Cooke,2020-06-20,103
Cooke,2020-06-13,76
Cooke,2020-06-06,97
Cooke,2020-05-30,82
Cooke,2020-05-23,108
Cooke,2020-05-16,190
Cooke,2020-05-09,214
Coryell,2020-07-11,156
Coryell,2020-07-04,165
Coryell,2020-06-27,115
Coryell,2020-06-20,133
Coryell,2020-06-13,133
Coryell,2020-06-06,150
Coryell,2020-05-30,156
Coryell,2020-05-23,155
Coryell,2020-05-16,170
Coryell,2020-05-09,163
Cottle,2020-07-11,1
Cottle,2020-07-04,4
Cottle,2020-06-27,4
Cottle,2020-06-20,3
Cottle,2020-06-13,5
Cottle,2020-06-06,NA
Cottle,2020-05-30,1
Cottle,2020-05-23,1
Cottle,2020-05-16,NA
Cottle,2020-05-09,3
Crane,2020-07-11,12
Crane,2020-07-04,12
Crane,2020-06-27,12
Crane,2020-06-20,14
Crane,2020-06-13,22
Crane,2020-06-06,19
Crane,2020-05-30,18
Crane,2020-05-23,27
Crane,2020-05-16,19
Crane,2020-05-09,30
Crockett,2020-07-11,7
Crockett,2020-07-04,3
Crockett,2020-06-27,8
Crockett,2020-06-20,7
Crockett,2020-06-13,5
Crockett,2020-06-06,6
Crockett,2020-05-30,4
Crockett,2020-05-23,4
Crockett,2020-05-16,19
