place,place_type,county,allocated,curr_released,pct_released
City of Selma,City/Town,Guadalupe,146740,29645,0.202023988005997
City of Staples,City/Town,Guadalupe,14905,2981,0.2
Hale County,County,Hale,252065,50413,0.2
City of Edmondson,City/Town,Hale,5665,1133,0.2
City of Hale Center,City/Town,Hale,115335,23067,0.2
City of Petersburg,City/Town,Hale,63195,12639,0.2
City of Plainview,City/Town,Hale,1140700,228140,0.2
City of Abernathy,City/Town,Hale,108350,21670,0.2
City of Estelline,City/Town,Hale,7590,1518,0.2
City of Lakeview,City/Town,Hale,5225,1045,0.2
City of Memphis,City/Town,Hale,118140,23628,0.2
City of Turkey,City/Town,Hale,21065,4213,0.2
Hall County,County,Hall,16115,3223,0.2
City of Estelline,City/Town,Hall,7205,1441,0.2
City of Lakeview,City/Town,Hall,5390,1078,0.2
City of Memphis,City/Town,Hall,113190,22638,0.2
City of Turkey,City/Town,Hall,21120,4224,0.2
Hamilton County,County,Hamilton,203720,40744,0.2
City of Evant,City/Town,Hamilton,7480,1496,0.2
City of Hamilton,City/Town,Hamilton,173745,34749,0.2
City of Hico,City/Town,Hamilton,80410,16082,0.2
Hansford County,County,Hansford,53405,10681,0.2
City of Gruver,City/Town,Hansford,62535,12507,0.2
City of Spearman,City/Town,Hansford,181005,36201,0.2
Hardeman County,County,Hardeman,49115,9823,0.2
City of Chillicothe,City/Town,Hardeman,35860,7172,0.2
City of Quanah,City/Town,Hardeman,131340,26268,0.2
Hardin County,County,Hardin,1840740,368148,0.2
City of Kountze,City/Town,Hardin,117150,23430,0.2
City of Lumberton,City/Town,Hardin,705870,141174,0.2
City of Rose Hill Acres,City/Town,Hardin,22825,4565,0.2
City of Silsbee,City/Town,Hardin,374825,74965,0.2
City of Sour Lake,City/Town,Hardin,106700,21340,0.2
Harrison County,County,Harrison,1804880,360976,0.2
City of Hallsville,City/Town,Harrison,238425,47685,0.2
City of Longview,City/Town,Harrison,107635,21527,0.2
City of Marshall,City/Town,Harrison,1344420,268884,0.2
City of Nesbitt,City/Town,Harrison,14795,2959,0.2
City of Scottsville,City/Town,Harrison,20350,4070,0.2
City of Uncertain,City/Town,Harrison,5170,1034,0.2
City of Waskom,City/Town,Harrison,124740,24948,0.2
Hartley County,County,Hartley,141075,28215,0.2
City of Channing,City/Town,Hartley,18535,3707,0.2
City of Dalhart,City/Town,Hartley,147070,29414,0.2
Haskell County,County,Haskell,62975,12595,0.2
City of Haskell,City/Town,Haskell,179630,35926,0.2
City of O'Brien,City/Town,Haskell,5720,1144,0.2
City of Rochester,City/Town,Haskell,17380,3476,0.2
City of Rule,City/Town,Haskell,34265,6853,0.2
City of Stamford,City/Town,Haskell,1870,374,0.2
City of Weinert,City/Town,Haskell,9350,1870,0.2
Hays County,County,Hays,4830760,966152,0.2
City of Bear Creek,City/Town,Hays,25025,5005,0.2
City of Buda,City/Town,Hays,1007765,201553,0.2
City of Dripping Springs,City/Town,Hays,218185,43637,0.2
City of Hays,City/Town,Hays,14465,2893,0.2
City of Kyle,City/Town,Hays,2539570,507914,0.2
City of Mountain City,City/Town,Hays,43835,8767,0.2
City of Niederwald,City/Town,Hays,26840,5368,0.2
City of San Marcos,City/Town,Hays,3655630,731126,0.2
City of Uhland,City/Town,Hays,33660,6732,0.2
City of Wimberley,City/Town,Hays,171985,34397,0.2
City of Woodcreek,City/Town,Hays,92785,18557,0.2
Hemphill County,County,Hemphill,60830,12166,0.2
City of Canadian,City/Town,Hemphill,149215,29843,0.2
Henderson County,County,Henderson,2379190,475838,0.2
City of Athens,City/Town,Henderson,746405,149281,0.2
City of Berryville,City/Town,Henderson,58190,11638,0.2
City of Brownsboro,City/Town,Henderson,69245,13849,0.2
City of Caney City,City/Town,Henderson,12430,2486,0.2
City of Chandler,City/Town,Henderson,171490,34298,0.2
City of Coffee City,City/Town,Henderson,80575,16115,0.2
City of Enchanted Oaks,City/Town,Henderson,18645,3729,0.2
City of Eustace,City/Town,Henderson,55605,11121,0.2
City of Gun Barrel City,City/Town,Henderson,338635,67727,0.2
City of Log Cabin,City/Town,Henderson,43120,8624,0.2
City of Mabank,City/Town,Henderson,48620,40755,0.8382352941176471
City of Malakoff,City/Town,Henderson,134310,26862,0.2
City of Moore Station,City/Town,Henderson,11275,2255,0.2
City of Murchison,City/Town,Henderson,33605,6721,0.2
City of Payne Springs,City/Town,Henderson,43890,8778,0.2
City of Poynor,City/Town,Henderson,17545,3509,0.2
City of Seven Points,City/Town,Henderson,79475,15895,0.2
City of Star Harbor,City/Town,Henderson,27060,5412,0.2
City of Tool,City/Town,Henderson,132220,26444,0.2
City of Trinidad,City/Town,Henderson,49005,9801,0.2
Hill County,County,Hill,1113035,222607,0.2
City of Abbott,City/Town,Hill,20680,4136,0.2
City of Aquilla,City/Town,Hill,6270,1254,0.2
City of Blum,City/Town,Hill,25960,5192,0.2
City of Bynum,City/Town,Hill,11275,2255,0.2
City of Carl's Corner,City/Town,Hill,9790,1958,0.2
City of Covington,City/Town,Hill,15510,3102,0.2
City of Hillsboro,City/Town,Hill,469920,93984,0.2
City of Hubbard,City/Town,Hill,76670,15334,0.2
City of Itasca,City/Town,Hill,94985,18997,0.2
City of Malone,City/Town,Hill,15180,3036,0.2
City of Mertens,City/Town,Hill,7040,1408,0.2
City of Mount Calm,City/Town,Hill,18260,3652,0.2
City of Penelope,City/Town,Hill,11385,2277,0.2
City of Whitney,City/Town,Hill,119735,23947,0.2
Hockley County,County,Hockley,313445,62689,0.2
City of Anton,City/Town,Hockley,60775,12155,0.2
City of Levelland,City/Town,Hockley,755260,151052,0.2
City of Opdyke West,City/Town,Hockley,9845,1969,0.2
City of Ropesville,City/Town,Hockley,23210,4642,0.2
City of Smyer,City/Town,Hockley,26070,5214,0.2
City of Sundown,City/Town,Hockley,77550,15510,0.2
Hood County,County,Hood,2528405,505681,0.2
City of Cresson,City/Town,Hood,17160,11319,0.6596153846153846
City of DeCordova,City/Town,Hood,167365,33473,0.2
City of Granbury,City/Town,Hood,578820,115764,0.2
City of Lipan,City/Town,Hood,26565,5313,0.2
City of Stockton Bend City,City/Town,Hood,17875,3575,0.2
City of Tolar,City/Town,Hood,54175,10835,0.2
Hopkins County,County,Hopkins,1045715,209143,0.2
City of Como,City/Town,Hopkins,41030,8206,0.2
City of Cumby,City/Town,Hopkins,44715,8943,0.2
City of Sulphur Springs,City/Town,Hopkins,890945,178189,0.2
City of Tira,City/Town,Hopkins,17215,3443,0.2
Houston County,County,Houston,744810,148962,0.2
City of Crockett,City/Town,Houston,368885,73777,0.2
City of Grapeland,City/Town,Houston,78045,15609,0.2
City of Kennard,City/Town,Houston,18150,3630,0.2
City of Latexo,City/Town,Houston,18260,3652,0.2
City of Lovelady,City/Town,Houston,35090,7018,0.2
Howard County,County,Howard,407110,81422,0.2
City of Big Spring,City/Town,Howard,1548580,309716,0.2
City of Coahoma,City/Town,Howard,48785,9757,0.2
City of Forsan,City/Town,Howard,12045,2409,0.2
Hudspeth County,County,Hudspeth,247940,49588,0.2
City of Dell City,City/Town,Hudspeth,20790,4158,0.2
Hunt County,County,Hunt,2711115,542223,0.2
Hunt County,County,Hunt,2711115,542223,0.2
City of Caddo Mills,City/Town,Hunt,93830,18766,0.2
City of Campbell,City/Town,Hunt,36630,7326,0.2
City of Celeste,City/Town,Hunt,50875,10175,0.2
City of Commerce,City/Town,Hunt,538230,107646,0.2
City of Greenville,City/Town,Hunt,1586805,317361,0.2
City of Greenville,City/Town,Hunt,1586805,317361,0.2
City of Hawk Cove,City/Town,Hunt,30470,6094,0.2
City of Josephine,City/Town,Hunt,5995,1199,0.2
City of Lone Oak,City/Town,Hunt,37180,7436,0.2
City of Neylandville,City/Town,Hunt,5830,1166,0.2
City of Quinlan,City/Town,Hunt,86075,17215,0.2
City of Union Valley,City/Town,Hunt,21945,4389,0.2
City of Royse City,City/Town,Hunt,35970,7194,0.2
City of West Tawakoni,City/Town,Hunt,97625,19525,0.2
City of Wolfe City,City/Town,Hunt,84095,16819,0.2
Hutchinson County,County,Hutchinson,254155,50831,0.2
City of Borger,City/Town,Hutchinson,684035,136807,0.2
City of Fritch,City/Town,Hutchinson,108405,21769,0.20081177067478437
City of Sanford,City/Town,Hutchinson,8415,1683,0.2
City of Stinnett,City/Town,Hutchinson,96580,19316,0.2
Irion County,County,Irion,38555,7711,0.2
City of Mertzon,City/Town,Irion,45925,9185,0.2
Jack County,County,Jack,211255,42251,0.2
City of Bryson,City/Town,Jack,31845,6369,0.2
City of Jacksboro,City/Town,Jack,248325,49665,0.2
Jackson County,County,Jackson,349305,69861,0.2
City of Edna,City/Town,Jackson,324940,64988,0.2
City of Ganado,City/Town,Jackson,125510,25102,0.2
City of La Ward,City/Town,Jackson,12045,2409,0.2
City of Jasper,City/Town,Jackson,1397165,279433,0.2
City of Browndell,City/Town,Jackson,11220,2244,0.2
City of Jasper,City/Town,Jackson,421575,84315,0.2
City of Kirbyville,City/Town,Jackson,124135,24827,0.2
Jeff Davis County,County,Jeff Davis,118195,23639,0.2
City of Valentine,City/Town,Jeff Davis,6875,1375,0.2
Jefferson County,County,Jefferson,1548140,309628,0.2
City of Beaumont,City/Town,Jefferson,6587900,1317580,0.2
City of Bevil Oaks,City/Town,Jefferson,67815,13563,0.2
City of China,City/Town,Jefferson,66825,13365,0.2
City of Groves,City/Town,Jefferson,874885,174977,0.2
City of Nederland,City/Town,Jefferson,951610,190322,0.2
City of Nome,City/Town,Jefferson,32780,6556,0.2
City of Port Arthur,City/Town,Jefferson,2994200,598840,0.2
City of Port Neches,City/Town,Jefferson,700315,140063,0.2
City of Taylor Landing,City/Town,Jefferson,11605,2321,0.2
Jim Hogg County,County,Jim Hogg,286000,57200,0.2
Jim Wells County,County,Jim Wells,903815,180763,0.2
City of Alice,City/Town,Jim Wells,1037410,207482,0.2
City of Orange Grove,City/Town,Jim Wells,71995,14399,0.2
City of Premont,City/Town,Jim Wells,140470,28094,0.2
City of San Diego,City/Town,Jim Wells,49885,9977,0.2
City of Westdale CDP,City/Town,Jim Wells,22935,4587,0.2
Johnson County,County,Johnson,4152720,830544,0.2
City of Alvarado,City/Town,Johnson,251570,50314,0.2
City of Briaroaks,City/Town,Johnson,27775,5555,0.2
City of Burleson,City/Town,Johnson,2054635,410927,0.2
City of Cleburne,City/Town,Johnson,1778425,355685,0.2
City of Coyote Flats City,City/Town,Johnson,18205,3641,0.2
City of Cresson,City/Town,Johnson,7865,1573,0.2
City of Cross Timber,City/Town,Johnson,17820,3564,0.2
City of Crowley,City/Town,Johnson,1925,385,0.2
City of Godley,City/Town,Johnson,70950,14190,0.2
City of Grandview,City/Town,Johnson,99165,19833,0.2
City of Joshua,City/Town,Johnson,428340,85668,0.2
City of Keene,City/Town,Johnson,374825,74965,0.2
City of Mansfield,City/Town,Johnson,119515,23903,0.2
City of Rio Vista,City/Town,Johnson,59015,11803,0.2
City of Venus,City/Town,Johnson,207185,41437,0.2
Jones County,County,Jones,343145,68629,0.2
City of Abilene,City/Town,Jones,310035,62007,0.2
City of Anson,City/Town,Jones,128150,25630,0.2
City of Hamlin,City/Town,Jones,111705,22341,0.2
City of Hawley,City/Town,Jones,34650,6930,0.2
City of Lueders,City/Town,Jones,17985,3597,0.2
City of Stamford,City/Town,Jones,158895,31779,0.2
Karnes County,County,Karnes,387310,77462,0.2
City of Falls City,City/Town,Karnes,37070,7414,0.2
City of Karnes City,City/Town,Karnes,176110,35222,0.2
City of Kenedy,City/Town,Karnes,193875,38775,0.2
City of Runge,City/Town,Karnes,63690,12738,0.2
Kaufman County,County,Kaufman,3817605,763521,0.2
City of Combine,City/Town,Kaufman,78265,15653,0.2
City of Cottonwood,City/Town,Kaufman,11825,2365,0.2
City of Crandall,City/Town,Kaufman,191235,38247,0.2
City of Forney,City/Town,Kaufman,1395405,279081,0.2
City of Grays Prairie,City/Town,Kaufman,20790,4158,0.2
City of Kaufman,City/Town,Kaufman,416075,83215,0.2
City of Kemp,City/Town,Kaufman,69740,13948,0.2
City of Mabank,City/Town,Kaufman,155155,31031,0.2
City of Mesquite,City/Town,Kaufman,7260,1452,0.2
City of Oak Grove,City/Town,Kaufman,38610,7722,0.2
City of Oak Ridge (Kaufman),City/Town,Kaufman,36355,7271,0.2
City of Post Oak Bend City,City/Town,Kaufman,37840,7568,0.2
City of Rosser,City/Town,Kaufman,21010,4202,0.2
City of Scurry,City/Town,Kaufman,42460,8492,0.2
City of Seagoville,City/Town,Kaufman,1375,275,0.2
City of Seven Points,City/Town,Kaufman,4345,869,0.2
City of Talty,City/Town,Kaufman,146520,29304,0.2
City of Terrell,City/Town,Kaufman,996600,199320,0.2
Kendall County,County,Kendall,1554300,310860,0.2
City of Boerne,City/Town,Kendall,929060,185812,0.2
City of Fair Oaks Ranch,City/Town,Kendall,125345,25069,0.2
Kenedy County,County,Kenedy,22220,4444,0.2
Kent County,County,Kent,14850,2970,0.2
City of Jayton,City/Town,Kent,27060,5412,0.2
Kerr County,County,Kerr,1458985,291797,0.2
City of Ingram,City/Town,Kerr,101640,20328,0.2
City of Kerrville,City/Town,Kerr,1332375,266475,0.2
Kimble County,County,Kimble,96800,19360,0.2
City of Junction,City/Town,Kimble,141735,28347,0.2
King County,County,King,14960,2992,0.2
Kinney County,County,Kinney,97845,19569,0.2
Kinney County,County,Kinney,97845,19569,0.2
City of Brackettville,City/Town,Kinney,98175,19635,0.2
City of Spofford,City/Town,Kinney,5665,1133,0.2
City of Spofford,City/Town,Kinney,5665,1133,0.2
Kleberg County,County,Kleberg,290730,58146,0.2
City of Kingsville,City/Town,Kleberg,1396670,279334,0.2
Knox County,County,Knox,55550,11110,0.2
City of Benjamin,City/Town,Knox,13090,2618,0.2
City of Goree,City/Town,Knox,10120,2024,0.2
City of Knox City,City/Town,Knox,58465,11693,0.2
City of Munday,City/Town,Knox,64295,12859,0.2
La Salle County,County,La Salle,159940,31988,0.2
City of Cotulla,City/Town,La Salle,220275,44055,0.2
City of Encinal,City/Town,La Salle,33385,6677,0.2
Lamar County,County,Lamar,1002485,200497,0.2
City of Blossom,City/Town,Lamar,86240,17248,0.2
City of Deport,City/Town,Lamar,30910,6182,0.2
City of Paris,City/Town,Lamar,1393150,278630,0.2
City of Reno (Lamar),City/Town,Lamar,184910,36982,0.2
City of Roxton,City/Town,Lamar,36080,7216,0.2
City of Sun Valley,City/Town,Lamar,4510,902,0.2
City of Toco,City/Town,Lamar,3960,792,0.2
Lamb County,County,Lamb,128040,25608,0.2
City of Amherst,City/Town,Lamb,35365,7073,0.2
City of Earth,City/Town,Lamb,53460,10692,0.2
City of Littlefield,City/Town,Lamb,325325,65065,0.2
City of Olton,City/Town,Lamb,112475,22495,0.2
City of Springlake,City/Town,Lamb,5280,1056,0.2
City of Sudan,City/Town,Lamb,49170,9834,0.2
Lampasas County,County,Lampasas,592790,118558,0.2
City of Copperas Cove,City/Town,Lampasas,36795,7359,0.2
City of Kempner,City/Town,Lampasas,64625,12925,0.2
City of Lampasas,City/Town,Lampasas,437085,87417,0.2
City of Lometa,City/Town,Lampasas,47245,9449,0.2
Lavaca County,County,Lavaca,577335,115467,0.2
City of Hallettsville,City/Town,Lavaca,148115,29623,0.2
City of Moulton,City/Town,Lavaca,49665,9933,0.2
City of Shiner,City/Town,Lavaca,121990,24398,0.2
City of Yoakum,City/Town,Lavaca,211365,42273,0.2
Lee County,County,Lee,596090,119218,0.2
City of Giddings,City/Town,Lee,285725,57145,0.2
City of Lexington,City/Town,Lee,66330,13266,0.2
Leon County,County,Leon,645370,129074,0.2
City of Buffalo,City/Town,Leon,104280,20856,0.2
City of Centerville,City/Town,Leon,49995,9999,0.2
City of Jewett,City/Town,Leon,68365,13673,0.2
City of Leona,City/Town,Leon,10395,2079,0.2
City of Marquez,City/Town,Leon,14850,2970,0.2
City of Normangee,City/Town,Leon,37565,7513,0.2
City of Oakwood,City/Town,Leon,26400,5280,0.2
Liberty County,County,Liberty,3041335,608267,0.2
City of Ames,City/Town,Liberty,64240,12848,0.2
City of Cleveland,City/Town,Liberty,474100,94820,0.2
City of Daisetta,City/Town,Liberty,60995,12199,0.2
City of Dayton,City/Town,Liberty,489885,97977,0.2
City of Dayton Lakes,City/Town,Liberty,5940,1188,0.2
City of Devers,City/Town,Liberty,29205,5841,0.2
City of Hardin,City/Town,Liberty,51645,10329,0.2
City of Kenefick,City/Town,Liberty,35970,7194,0.2
City of Liberty,City/Town,Liberty,536470,107294,0.2
City of North Cleveland,City/Town,Liberty,16720,3344,0.2
City of Old River-Winfree,City/Town,Liberty,6985,1397,0.2
City of Plum Grove,City/Town,Liberty,38555,7711,0.2
Limestone County,County,Limestone,499070,99814,0.2
City of Coolidge,City/Town,Limestone,54835,10967,0.2
City of Groesbeck,City/Town,Limestone,240460,48092,0.2
City of Kosse,City/Town,Limestone,25080,5016,0.2
City of Mexia,City/Town,Limestone,423995,84799,0.2
City of Tehuacana,City/Town,Limestone,15840,3168,0.2
City of Thornton,City/Town,Limestone,29755,5951,0.2
Lipscomb County,County,Lipscomb,26950,5390,0.2
City of Booker,City/Town,Lipscomb,84040,16808,0.2
City of Darrouzett,City/Town,Lipscomb,19360,3872,0.2
City of Follett,City/Town,Lipscomb,25300,5060,0.2
City of Higgins,City/Town,Lipscomb,22165,4433,0.2
Live Oak County,County,Live Oak,421300,84260,0.2
City of George West,City/Town,Live Oak,141460,28292,0.2
City of Three Rivers,City/Town,Live Oak,108625,21725,0.2
Llano County,County,Llano,788920,157784,0.2
City of Horseshoe Bay,City/Town,Llano,172810,43659,0.2526416295353278
City of Llano,City/Town,Llano,192885,38577,0.2
City of Sunrise Beach Village,City/Town,Llano,44110,8822,0.2
Loving County,County,Loving,9295,1859,0.2
Lubbock County,County,Lubbock,1896070,379214,0.2
City of Abernathy,City/Town,Lubbock,41470,8294,0.2
City of Buffalo Springs,City/Town,Lubbock,27225,5445,0.2
City of Idalou,City/Town,Lubbock,123530,24706,0.2
City of Lubbock,City/Town,Lubbock,14113000,2822600,0.2
City of New Deal,City/Town,Lubbock,45375,9075,0.2
City of Ransom Canyon,City/Town,Lubbock,60665,12133,0.2
City of Shallowater,City/Town,Lubbock,137555,27511,0.2
City of Slaton,City/Town,Lubbock,327140,65428,0.2
City of Wolfforth,City/Town,Lubbock,309265,61853,0.2
Lynn County,County,Lynn,94160,18832,0.2
City of New Home,City/Town,Lynn,20130,4026,0.2
City of O'Donnell,City/Town,Lynn,39105,7821,0.2
City of Tahoka,City/Town,Lynn,147290,29458,0.2
City of Wilson,City/Town,Lynn,26620,5324,0.2
Madison County,County,Madison,509520,101904,0.2
City of Madisonville,City/Town,Madison,262790,52558,0.2
City of Midway,City/Town,Madison,13310,2662,0.2
Marion County,County,Marion,429935,85987,0.2
City of Jefferson,City/Town,Marion,112035,22407,0.2
Martin County,County,Martin,143715,28743,0.2
City of Ackerly,City/Town,Martin,4015,803,0.2
City of Stanton,City/Town,Martin,169675,33935,0.2
Mason County,County,Mason,108955,72237,0.6629984856133266
City of Mason,City/Town,Mason,126115,25223,0.2
Matagorda County,County,Matagorda,805860,161172,0.2
City of Bay City,City/Town,Matagorda,959420,191884,0.2
City of Palacios,City/Town,Matagorda,250085,50017,0.2
Maverick County,County,Maverick,1646810,329362,0.2
City of Eagle Pass,City/Town,Maverick,1582900,316580,0.2
McCulloch County,County,McCulloch,120560,24112,0.2
City of Brady,City/Town,McCulloch,308990,61798,0.2
City of Melvin,City/Town,McCulloch,9570,1914,0.2
McLennan County,County,McLennan,2281290,456258,0.2
City of Bellmead,City/Town,McLennan,592405,118481,0.2
City of Beverly Hills,City/Town,McLennan,109670,21934,0.2
City of Bruceville-Eddy,City/Town,McLennan,93005,18601,0.2
City of Crawford,City/Town,McLennan,41470,8294,0.2
City of Gholson,City/Town,McLennan,61490,12298,0.2
City of Golinda,City/Town,McLennan,8415,1683,0.2
City of Hewitt,City/Town,McLennan,834295,166859,0.2
City of Lacy-Lakeview,City/Town,McLennan,385550,77110,0.2
City of Leroy,City/Town,McLennan,18975,3795,0.2
City of Lorena,City/Town,McLennan,97680,19536,0.2
City of Mart,City/Town,McLennan,112255,22451,0.2
City of McGregor,City/Town,McLennan,291280,58256,0.2
City of Riesel,City/Town,McLennan,57805,11561,0.2
City of Robinson,City/Town,McLennan,654720,130944,0.2
City of Ross,City/Town,McLennan,15675,3135,0.2
City of Valley Mills,City/Town,McLennan,715,143,0.2
City of Waco,City/Town,McLennan,7662820,1532564,0.2
City of West,City/Town,McLennan,157905,31581,0.2
City of Woodway,City/Town,McLennan,508750,101750,0.2
City of Bruceville-Eddy,City/Town,McLennan,102575,20515,0.2
City of Hallsburg,City/Town,McLennan,25520,5104,0.2
McMullen County,County,McMullen,40865,8173,0.2
Medina County,County,Medina,1680360,336072,0.2
City of Castroville,City/Town,Medina,171105,34221,0.2
City of Devine,City/Town,Medina,269225,53845,0.2
City of Hondo,City/Town,Medina,523710,104742,0.2
City of LaCoste,City/Town,Medina,70785,14157,0.2
City of Lytle,City/Town,Medina,30910,6182,0.2
City of Natalia,City/Town,Medina,89485,17897,0.2
City of San Antonio,City/Town,Medina,1540,308,0.2
Menard County,County,Menard,40590,8118,0.2
City of Menard,City/Town,Menard,77000,15400,0.2
Midland County,County,Midland,1655885,331177,0.2
Midland County,County,Midland,1655885,331177,0.2
City of Midland,City/Town,Midland,7953000,1590600,0.2
City of Midland,City/Town,Midland,7953000,1590600,0.2
City of Odessa,City/Town,Midland,116875,23375,0.2
Milam County,County,Milam,610115,122023,0.2
City of Buckholts,City/Town,Milam,29920,5984,0.2
City of Cameron,City/Town,Milam,309595,61919,0.2
City of Milano,City/Town,Milam,25080,5016,0.2
City of Rockdale,City/Town,Milam,312675,62535,0.2
City of Thorndale,City/Town,Milam,77880,15576,0.2
Mills County,County,Mills,153450,30690,0.2
City of Goldthwaite,City/Town,Mills,104665,20933,0.2
City of Goldthwaite,City/Town,Mills,104665,20933,0.2
City of Mullin,City/Town,Mills,9900,1980,0.2
Mitchell County,County,Mitchell,220715,44143,0.2
City of Colorado City,City/Town,Mitchell,204820,40964,0.2
City of Loraine,City/Town,Mitchell,31350,6270,0.2
City of Westbrook,City/Town,Mitchell,13090,2618,0.2
Montague County,County,Montague,580635,116127,0.2
City of Bowie,City/Town,Montague,282535,56507,0.2
City of Nocona,City/Town,Montague,166980,33396,0.2
City of St. Jo,City/Town,Montague,59840,11968,0.2
Moore County,County,Moore,121330,24266,0.2
City of Cactus,City/Town,Moore,172865,34573,0.2
City of Dumas,City/Town,Moore,757350,151470,0.2
City of Fritch,City/Town,Moore,440,88,0.2
City of Sunray,City/Town,Moore,99715,19943,0.2
Morris County,County,Morris,342650,68530,0.2
City of Daingerfield,City/Town,Morris,130020,26004,0.2
City of Hughes Springs,City/Town,Morris,330,66,0.2
City of Lone Star,City/Town,Morris,80685,16137,0.2
City of Naples,City/Town,Morris,73645,14729,0.2
City of Omaha,City/Town,Morris,54010,10802,0.2
Motley County,County,Motley,19140,3828,0.2
City of Matador,City/Town,Motley,33825,6765,0.2
City of Roaring Springs,City/Town,Motley,13035,2607,0.2
Nacogdoches County,County,Nacogdoches,1601985,320397,0.2
City of Appleby,City/Town,Nacogdoches,27225,5445,0.2
City of Chireno,City/Town,Nacogdoches,21285,4257,0.2
City of Cushing,City/Town,Nacogdoches,33605,6721,0.2
City of Garrison,City/Town,Nacogdoches,49940,9988,0.2
City of Nacogdoches,City/Town,Nacogdoches,1852180,370436,0.2
Navarro County,County,Navarro,945230,189046,0.2
City of Angus,City/Town,Navarro,25190,5038,0.2
City of Barry,City/Town,Navarro,14410,2882,0.2
City of Blooming Grove,City/Town,Navarro,46915,9383,0.2
City of Corsicana,City/Town,Navarro,1362020,272404,0.2
City of Dawson,City/Town,Navarro,44715,8943,0.2
City of Emhouse,City/Town,Navarro,7810,1562,0.2
City of Eureka,City/Town,Navarro,17875,3575,0.2
City of Frost,City/Town,Navarro,35805,7161,0.2
City of Goodlow,City/Town,Navarro,10890,2178,0.2
City of Kerens,City/Town,Navarro,87120,17424,0.2
City of Mildred,City/Town,Navarro,21450,4290,0.2
City of Mustang,City/Town,Navarro,1265,253,0.2
City of Navarro,City/Town,Navarro,11605,2321,0.2
City of Oak Valley,City/Town,Navarro,22055,4411,0.2
City of Powell,City/Town,Navarro,8140,1628,0.2
City of Retreat,City/Town,Navarro,22550,4510,0.2
City of Rice,City/Town,Navarro,56320,11264,0.2
City of Richland,City/Town,Navarro,14850,2970,0.2
Newton County,County,Newton,618365,123673,0.2
City of Newton,City/Town,Newton,129360,25872,0.2
Nolan County,County,Nolan,149160,29832,0.2
City of Blackwell,City/Town,Nolan,16225,3245,0.2
City of Roscoe,City/Town,Nolan,70015,14003,0.2
City of Sweetwater,City/Town,Nolan,573870,114774,0.2
Nueces County,County,Nueces,830665,166133,0.2
City of Agua Dulce,City/Town,Nueces,45815,9163,0.2
City of Aransas Pass,City/Town,Nueces,770,154,0.2
City of Bishop,City/Town,Nueces,172370,34474,0.2
City of Corpus Christi,City/Town,Nueces,17960470,3592094,0.2
City of Driscoll,City/Town,Nueces,41195,8239,0.2
City of Petronila,City/Town,Nueces,6160,1232,0.2
City of Port Aransas,City/Town,Nueces,228745,45749,0.2
City of Robstown,City/Town,Nueces,616385,123277,0.2
City of San Patricio,City/Town,Nueces,23595,4719,0.2
Ochiltree County,County,Ochiltree,63745,12749,0.2
City of Perryton,City/Town,Ochiltree,477235,95447,0.2
City of Oldham Country,City/Town,Ochiltree,57750,11550,0.2
City of Adrian,City/Town,Ochiltree,8635,1727,0.2
City of Vega,City/Town,Ochiltree,49775,9955,0.2
Orange County,County,Orange,2271500,454300,0.2
City of Bridge City,City/Town,Orange,434500,86900,0.2
City of Orange,City/Town,Orange,1036585,207317,0.2
City of Pine Forest,City/Town,Orange,27775,5555,0.2
City of Rose City,City/Town,Orange,28105,5621,0.2
City of Vidor,City/Town,Orange,602525,120505,0.2
City of West Orange,City/Town,Orange,185790,37158,0.2
Palo Pinto County,County,Palo Pinto,542575,108515,0.2
City of Gordon,City/Town,Palo Pinto,26620,5324,0.2
City of Graford,City/Town,Palo Pinto,34650,6930,0.2
City of Mineral Wells,City/Town,Palo Pinto,951225,190245,0.2
City of Mingus,City/Town,Palo Pinto,13695,2739,0.2
City of Strawn,City/Town,Palo Pinto,36630,7326,0.2
Panola County,County,Panola,821590,164318,0.2
City of Beckville,City/Town,Panola,51315,10263,0.2
City of Carthage,City/Town,Panola,385220,77044,0.2
City of Gary City,City/Town,Panola,17545,3509,0.2
Parker County,County,Parker,4713115,942623,0.2
City of Aledo,City/Town,Parker,225775,45155,0.2
City of Annetta,City/Town,Parker,168685,33737,0.2
City of Annetta North,City/Town,Parker,31075,6215,0.2
City of Annetta South,City/Town,Parker,32450,6490,0.2
City of Azle,City/Town,Parker,121275,24255,0.2
City of Cool,City/Town,Parker,10175,2035,0.2
City of Cresson,City/Town,Parker,31570,6314,0.2
City of Fort Worth,City/Town,Parker,440,88,0.2
City of Hudson Oaks,City/Town,Parker,126005,25201,0.2
City of Millsap,City/Town,Parker,24530,4906,0.2
City of Reno,City/Town,Parker,166485,33297,0.2
City of Sanctuary,City/Town,Parker,18315,3663,0.2
City of Springtown,City/Town,Parker,169730,33946,0.2
City of Weatherford,City/Town,Parker,1715340,343068,0.2
City of Willow Park,City/Town,Parker,303325,60665,0.2
Parmer County,County,Parmer,139590,27918,0.2
City of Bovina,City/Town,Parmer,99385,19877,0.2
City of Farwell,City/Town,Parmer,72930,14586,0.2
City of Friona,City/Town,Parmer,216370,43274,0.2
Pecos County,County,Pecos,350515,70103,0.2
City of Fort Stockton,City/Town,Pecos,455620,91124,0.2
City of Iraan,City/Town,Pecos,64130,12826,0.2
Polk County,County,Polk,2276670,455334,0.2
