place,place_type,county,allocated,curr_released,pct_released
City of Bonney,City/Town,Brazoria,19470,3894,0.2
City of Brazoria,City/Town,Brazoria,190685,38137,0.2
City of Brookside Village,City/Town,Brazoria,91410,18282,0.2
City of Clute,City/Town,Brazoria,668580,133716,0.2
City of Danbury,City/Town,Brazoria,103290,20658,0.2
City of Freeport,City/Town,Brazoria,690580,138116,0.2
City of Hillcrest,City/Town,Brazoria,42845,8569,0.2
City of Holiday Lakes,City/Town,Brazoria,68585,13717,0.2
City of Iowa Colony,City/Town,Brazoria,122595,24519,0.2
City of Jones Creek,City/Town,Brazoria,120725,24145,0.2
City of Lake Jackson,City/Town,Brazoria,1523445,304689,0.2
City of Liverpool,City/Town,Brazoria,31515,6303,0.2
City of Manvel,City/Town,Brazoria,744260,148852,0.2
City of Oyster Creek,City/Town,Brazoria,65945,13189,0.2
City of Pearland,City/Town,Brazoria,6374005,1274801,0.2
City of Quintana,City/Town,Brazoria,6545,1309,0.2
City of Richwood,City/Town,Brazoria,233585,46717,0.2
City of Sandy Point,City/Town,Brazoria,13475,2695,0.2
City of Surfside Beach,City/Town,Brazoria,31955,6391,0.2
City of Sweeny,City/Town,Brazoria,230010,46002,0.2
City of West Columbia,City/Town,Brazoria,234795,46959,0.2
Brazos County,County,Brazos,1437370,287474,0.2
City of Bryan,City/Town,Brazos,4687320,937464,0.2
City of College Station,City/Town,Brazos,6434890,1286978,0.2
City of Kurten,City/Town,Brazos,20405,4081,0.2
City of Millican,City/Town,Brazos,13200,2640,0.2
City of Wixon Valley,City/Town,Brazos,13420,2684,0.2
Brewster County,County,Brewster,178090,35618,0.2
City of Alpine,City/Town,Brewster,328075,65615,0.2
Briscoe County,County,Briscoe,26180,5236,0.2
City of Quitaque,City/Town,Briscoe,20845,4169,0.2
City of Silverton,City/Town,Briscoe,38005,7601,0.2
Brooks County,County,Brooks,115280,23056,0.2
City of Falfurrias,City/Town,Brooks,274835,54967,0.2
Brown County,County,Brown,707740,141548,0.2
City of Bangs,City/Town,Brown,87340,17468,0.2
City of Blanket,City/Town,Brown,21560,4312,0.2
City of Brownwood,City/Town,Brown,1094390,218878,0.2
City of Brownwood,City/Town,Brown,1094390,218878,0.2
City of Early,City/Town,Brown,171490,34298,0.2
City of Early,City/Town,Brown,171490,34298,0.2
Burleson County,County,Burleson,651915,130383,0.2
City of Caldwell,City/Town,Burleson,249590,49918,0.2
City of Snook,City/Town,Burleson,29755,5951,0.2
City of Somerville,City/Town,Burleson,83105,16621,0.2
Burnet County,County,Burnet,1264065,252813,0.2
City of Bertram,City/Town,Burnet,88935,17787,0.2
City of Burnet,City/Town,Burnet,378455,75691,0.2
City of Cottonwood Shores,City/Town,Burnet,73975,14795,0.2
City of Granite Shoals,City/Town,Burnet,281435,56287,0.2
City of Highland Haven,City/Town,Burnet,23815,4763,0.2
City of Horeshoe Bay,City/Town,Burnet,45485,9097,0.2
City of Marble Falls,City/Town,Burnet,391875,78375,0.2
City of Meadowlakes,City/Town,Burnet,100485,20097,0.2
Caldwell County,County,Caldwell,1172435,234487,0.2
City of Lockhart,City/Town,Caldwell,763895,152779,0.2
City of Luling,City/Town,Caldwell,330880,66176,0.2
City of Martindale,City/Town,Caldwell,69575,13915,0.2
City of Mustang Ridge,City/Town,Caldwell,26290,5258,0.2
City of Niederwald,City/Town,Caldwell,6490,1298,0.2
City of Uhland,City/Town,Caldwell,31955,6391,0.2
Calhoun County,County,Calhoun,364705,72941,0.2
City of Point Comfort,City/Town,Calhoun,38610,7722,0.2
City of Port Lavaca,City/Town,Calhoun,683815,136763,0.2
City of Seadrift,City/Town,Calhoun,83820,16764,0.2
Callahan County,County,Callahan,401775,80355,0.2
City of Baird,City/Town,Callahan,84370,16874,0.2
City of Clyde,City/Town,Callahan,219560,43912,0.2
City of Cross Plains,City/Town,Callahan,55825,11165,0.2
City of Putnam,City/Town,Callahan,5335,1067,0.2
Cameron County,County,Cameron,5504180,1100836,0.2
City of Bayview,City/Town,Cameron,22440,4488,0.2
City of Brownsville,City/Town,Cameron,10209375,2041875,0.2
City of Combes,City/Town,Cameron,170885,34177,0.2
City of Harlingen,City/Town,Cameron,3758040,751608,0.2
City of Indian Lake,City/Town,Cameron,47300,9460,0.2
City of La Feria,City/Town,Cameron,429770,85954,0.2
City of Los Fresnos (Cameron),City/Town,Cameron,441650,88330,0.2
City of Los Indios,City/Town,Cameron,58300,11660,0.2
City of Palm Valley,City/Town,Cameron,69245,13849,0.2
City of Port Isabel,City/Town,Cameron,282150,56430,0.2
City of Primera,City/Town,Cameron,283030,56606,0.2
City of Rancho Viejo (Cameron),City/Town,Cameron,141515,28303,0.2
City of Rangerville,City/Town,Cameron,19525,3905,0.2
City of Rio Hondo,City/Town,Cameron,149600,29920,0.2
City of San Benito,City/Town,Cameron,1355200,271040,0.2
City of Santa Rosa (Cameron),City/Town,Cameron,151690,30338,0.2
City of Solis CDP,City/Town,Cameron,24255,4851,0.2
City of South Padre Island,City/Town,Cameron,155815,31163,0.2
Camp County,County,Camp,456445,91289,0.2
City of Pittsburg,City/Town,Camp,259820,51964,0.2
City of Rocky Mound,City/Town,Camp,3905,781,0.2
Carson County,County,Carson,80465,16093,0.2
Carson County,County,Carson,80465,16093,0.2
City of Groom,City/Town,Carson,30965,6193,0.2
City of Panhandle,City/Town,Carson,133650,26730,0.2
City of Panhandle,City/Town,Carson,133650,26730,0.2
City of Skellytown,City/Town,Carson,25080,5016,0.2
City of White Deer,City/Town,Carson,55770,11154,0.2
Cass County,County,Cass,981035,196207,0.2
City of Atlanta,City/Town,Cass,312565,62513,0.2
City of Avinger,City/Town,Cass,24420,4884,0.2
City of Bloomburg,City/Town,Cass,22990,4598,0.2
City of Domino,City/Town,Cass,5940,1188,0.2
City of Douglassville,City/Town,Cass,12265,2453,0.2
City of Hughes Springs,City/Town,Cass,95150,19030,0.2
City of Linden,City/Town,Cass,108185,21637,0.2
City of Marietta,City/Town,Cass,7260,1452,0.2
City of Queen City,City/Town,Cass,81620,16324,0.2
Castro County,County,Castro,109340,21868,0.2
City of Dimmitt,City/Town,Castro,229570,45914,0.2
City of Hart,City/Town,Castro,58520,11704,0.2
City of Nazareth,City/Town,Castro,16720,3344,0.2
Chambers County,County,Chambers,1468610,293722,0.2
City of Anahuac,City/Town,Chambers,137940,27588,0.2
City of Baytown,City/Town,Chambers,227975,45595,0.2
City of Beach City,City/Town,Chambers,150480,30096,0.2
City of Cove,City/Town,Chambers,30250,6050,0.2
City of Mont Belvieu,City/Town,Chambers,326315,65263,0.2
City of Old River-Winfree,City/Town,Chambers,69465,13893,0.2
Cherokee County,County,Cherokee,1511840,302368,0.2
City of Alto,City/Town,Cherokee,70510,14102,0.2
City of Bullard,City/Town,Cherokee,3630,726,0.2
City of Cuney,City/Town,Cherokee,7590,1518,0.2
City of Gallatin,City/Town,Cherokee,24200,4840,0.2
City of Jacksonville,City/Town,Cherokee,832590,166518,0.2
