state,industry,date,variable,pct,prev_date,prev_day,change,change_lbl,color
TX,Health Care and Fitness,2020-03-03,hours_worked,0.3,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-03,hours_worked,4.7,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-03,hours_worked,-1.3,NA,NA,NA,,#FFD100
TX,Other,2020-03-03,hours_worked,0.9,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-03,hours_worked,4.9,NA,NA,NA,,#FFD100
TX,Retail,2020-03-03,hours_worked,-2.6,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-03,hours_worked,-16.2,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-03,locations_open,-4.8,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-03,locations_open,-2.5,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-03,locations_open,-2.6,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-03,locations_open,-3.4,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-03,locations_open,-0.3,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-03,locations_open,0.4,NA,NA,NA,,#FFD100
TX,Other,2020-03-03,locations_open,-3.6,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-03,locations_open,-2,NA,NA,NA,,#FFD100
TX,Retail,2020-03-03,locations_open,-2.9,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-03,locations_open,-7.2,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-03,employees_working,-12.4,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-03,employees_working,2.8,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-03,employees_working,-0.1,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-03,employees_working,-1,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-03,employees_working,3.5,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-03,employees_working,-2.5,NA,NA,NA,,#FFD100
TX,Other,2020-03-03,employees_working,0.6,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-03,employees_working,4.4,NA,NA,NA,,#FFD100
TX,Retail,2020-03-03,employees_working,-1.8,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-03,employees_working,-11.9,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-04,hours_worked,-16.1,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-04,hours_worked,1,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-04,hours_worked,-1.6,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-04,hours_worked,-0.3,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-04,hours_worked,-9.9,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-04,hours_worked,-4,NA,NA,NA,,#FFD100
TX,Other,2020-03-04,hours_worked,-0.7,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-04,hours_worked,2.4,NA,NA,NA,,#FFD100
TX,Retail,2020-03-04,hours_worked,-3,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-04,hours_worked,-14.4,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-04,locations_open,-15.3,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-04,locations_open,-0.2,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-04,locations_open,-2.5,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-04,locations_open,-2.2,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-04,locations_open,-9.1,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-04,locations_open,-2.9,NA,NA,NA,,#FFD100
TX,Other,2020-03-04,locations_open,-7.2,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-04,locations_open,-2.6,NA,NA,NA,,#FFD100
TX,Retail,2020-03-04,locations_open,-2.6,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-04,locations_open,-8.4,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-04,employees_working,-12.2,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-04,employees_working,4.3,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-04,employees_working,-1.5,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-04,employees_working,0.3,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-04,employees_working,-13.2,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-04,employees_working,-2.3,NA,NA,NA,,#FFD100
TX,Other,2020-03-04,employees_working,-1.2,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-04,employees_working,1.8,NA,NA,NA,,#FFD100
TX,Retail,2020-03-04,employees_working,-2.3,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-04,employees_working,-15.7,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-05,hours_worked,-14.3,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-05,hours_worked,-0.9,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-05,hours_worked,0.8,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-05,hours_worked,-1.7,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-05,hours_worked,20.9,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-05,hours_worked,-1.7,NA,NA,NA,,#FFD100
TX,Other,2020-03-05,hours_worked,2.4,NA,NA,NA,,#FFD100
